LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
αἱρέω	ᾕρει	4	Imp	0	advcl_advmod_advmod_obj
αἱρέω	ᾕρεον	5	Imp	0	advmod_obj
αἱρέω	ᾕρεε	4	Imp	0	advmod_obj
αἱρέω	ᾕρεον	5	Imp	0	advmod_obj_obl
αἱρέω	ᾕρεον	5	Imp	0	obj_obl
αἱρέω	ᾕρει	4	Imp	0	nsubj_obj
αἱρέω	αἱρέετο	7	Imp	0	advcl_obj
αἱρέω	αἱρέοντο	8	Imp	0	advcl_advmod_nsubj_obj_xcomp
αἱρέω	ᾕρευν	5	Imp	0	advcl_nsubj_obj
αἱρέω	ᾕρει	4	Imp	0	obj
αἱρέω	ᾑρηκότες	8	Perf	1	advcl_advmod_obj
γίγνομαι	ἐγίγνετο	8	Imp	1	advcl_advmod_nsubj_obl
γίγνομαι	γίγνετ̓	7	Imp	1	nsubj_obl
γίγνομαι	ἐγίγνετο	8	Imp	1	nsubj_obj_obl
γίγνομαι	ἐγίγνετο	8	Imp	1	nsubj
γίγνομαι	γίγνοντο	8	Imp	1	advmod_advmod_nsubj_xcomp
γίγνομαι	γίγνετο	7	Imp	1	advmod_advmod_nsubj_obl
γίγνομαι	γίγνετ̓	7	Imp	1	advmod_nsubj
γίγνομαι	γίγνετ̓	7	Imp	1	advmod_advmod_nsubj
γίγνομαι	γίγνετ̓	7	Imp	1	advmod_nsubj
γίγνομαι	γίγνεθ̓	7	Imp	1	advmod_nsubj
γίγνομαι	γίγνετ̓	7	Imp	1	advmod_advmod_advmod_nsubj_obl
γίγνομαι	ἐγίνοντο	8	Imp	1	advmod_advmod_xcomp
γίγνομαι	ἐγίνοντο	8	Imp	1	advcl_advmod_advmod_nsubj_obl_xcomp
γίγνομαι	ἐγίνετο	7	Imp	1	nsubj_obl_xcomp
γίγνομαι	ἐγίνετο	7	Imp	1	advmod_nsubj_xcomp
γίγνομαι	ἐγίνετο	7	Imp	1	advmod_advmod_nsubj_xcomp
γίγνομαι	ἐγίνοντο	8	Imp	1	nsubj_xcomp
γίγνομαι	ἐγίνετο	7	Imp	1	advmod_advmod_advmod_advmod_nsubj_xcomp
γίγνομαι	ἐγίνετο	7	Imp	1	advmod_advmod_nsubj_xcomp
γίγνομαι	ἐγίνετο	7	Imp	1	advmod_nsubj_xcomp
γίγνομαι	ἐγίνετο	7	Imp	1	advmod_advmod_nsubj_xcomp
γίγνομαι	ἐγίνοντο	8	Imp	1	advmod_nsubj_xcomp
γίγνομαι	ἐγίνετο	7	Imp	1	advcl_nsubj_xcomp
γίγνομαι	ἐγίνοντο	8	Imp	1	advcl_advmod_nsubj_obl_obl_xcomp
γίγνομαι	ἐγίνετο	7	Imp	1	advcl_advmod_nsubj_xcomp
γίγνομαι	ἐγίνοντο	8	Imp	1	advmod_advmod_nsubj_obl_xcomp
γίγνομαι	ἐγίνοντο	8	Imp	1	advmod_advmod_advmod_advmod_nsubj_xcomp
γίγνομαι	ἐγίνετο	7	Imp	1	advcl_nsubj
γίγνομαι	ἐγίγνετο	8	Imp	1	advmod_advmod_nsubj
γίγνομαι	ἐγίγνοντο	9	Imp	1	nsubj_obl_xcomp
γίγνομαι	ἐγίγνοντο	9	Imp	1	advmod_advmod_advmod_nsubj_xcomp
γίγνομαι	ἐγίγνοντο	9	Imp	1	nsubj_xcomp
γίγνομαι	ἐγίνετο	7	Imp	1	advmod_advmod_nsubj
γίγνομαι	ἐγίνετο	7	Imp	1	advmod_advmod_advmod_nsubj
