LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
agindu	agintzen	8	Imp	1	nsubj_obl
agindu	agindu	6	Perf	0	xcomp
agindu	agindu	6	Perf	0	ccomp
agindu	agindu	6	Perf	0	ccomp_nsubj
agindu	agindu	6	Perf	0	advmod_xcomp
agindu	agindu	6	Perf	0	ccomp_iobj_nsubj
agindu	agindu	6	Perf	0	advmod_nsubj_xcomp
agindu	agindu	6	Perf	0	advmod_ccomp_iobj_nsubj
agindu	agindu	6	Perf	0	advcl_ccomp_nsubj
agindu	agindu	6	Perf	0	advmod_ccomp_nsubj
agindu	agindu	6	Perf	0	advmod_obl_obl
agindu	agindu	6	Perf	0	ccomp_nsubj
agindu	aginduko	8	Prosp	1	advmod_nsubj
agindu	aginduko	8	Prosp	1	nsubj
agindu	aginduko	8	Prosp	1	advcl
aitortu	aitortzen	9	Imp	1	advmod_obj
aitortu	aitortzen	9	Imp	1	iobj_nsubj_obj
aitortu	aitortzen	9	Imp	1	obj_obl
aitortu	aitortu	7	Perf	0	nsubj_obj
aitortu	aitortu	7	Perf	0	advcl_ccomp_nsubj
aitortu	aitortu	7	Perf	0	ccomp
aitortu	aitortu	7	Perf	0	ccomp_nsubj
aitortu	aitortu	7	Perf	0	ccomp
aitortu	autortu	7	Perf	0	advmod
aitortu	aitortu	7	Perf	0	advmod_ccomp
aitortu	aitortu	7	Perf	0	nsubj
aitortu	aitortu	7	Perf	0	ccomp
aitortu	aitortu	7	Perf	0	ccomp_nsubj
aitortu	aitortu	7	Perf	0	advmod_ccomp_nsubj
aitortu	aitortu	7	Perf	0	advcl_advmod_ccomp
aitortu	aitortu	7	Perf	0	advmod_ccomp_nsubj
aitortu	aitortu	7	Perf	0	ccomp_nsubj
aitortu	aitortu	7	Perf	0	ccomp_nsubj
aitortu	aitortu	7	Perf	0	ccomp
aldatu	aldatzen	8	Imp	1	obl_obl
aldatu	aldatzen	8	Imp	1	advmod_nsubj
aldatu	aldatzen	8	Imp	1	advmod_obj
aldatu	aldatzen	8	Imp	1	nsubj_obl
aldatu	aldatzen	8	Imp	1	advcl_advmod_advmod
aldatu	aldatu	6	Perf	0	advmod_obj_obl
aldatu	aldatu	6	Perf	0	advmod_nsubj_obj
aldatu	aldatu	6	Perf	0	nsubj_obl
aldatu	aldatu	6	Perf	0	advmod
aldatu	aldatu	6	Perf	0	nsubj_obj
aldatu	aldatu	6	Perf	0	advmod_nsubj_obj
aldatu	aldatu	6	Perf	0	obj_obl
aldatu	aldatu	6	Perf	0	advcl_nsubj_obj
aldatu	aldatu	6	Perf	0	nsubj_obj
aldatu	aldatu	6	Perf	0	advmod_advmod_csubj_nsubj
aldatu	aldatu	6	Perf	0	obj_obl
aldatu	aldatu	6	Perf	0	advmod_obj
aldatu	aldatu	6	Perf	0	advcl_nsubj_obj
aldatu	aldatu	6	Perf	0	advcl_obj
aldatu	aldatu	6	Perf	0	advmod_nsubj_obj
aldatu	aldatu	6	Perf	0	advmod_obj_obl
aldatu	aldatu	6	Perf	0	obj
aldatu	aldatuko	8	Prosp	1	advcl_nsubj_obj_obl
aldatu	aldatuko	8	Prosp	1	advmod_advmod_advmod_nsubj_obj
aldatu	aldatuko	8	Prosp	1	advcl_obl
aldatu	aldatuko	8	Prosp	1	advcl_advmod_obj
amaitu	amaitzen	8	Imp	1	advmod_nsubj_obj
amaitu	amaitzear	9	Imp	1	nsubj
amaitu	amaitzear	9	Imp	1	nsubj
amaitu	amaitzen	8	Imp	1	nsubj
amaitu	amaitu	6	Perf	0	obl_obl_obl
amaitu	amaitu	6	Perf	0	nsubj_obl
amaitu	amaitu	6	Perf	0	advmod_nsubj_obl
amaitu	amaitu	6	Perf	0	obj_obl
amaitu	amaitu	6	Perf	0	advmod_nsubj_obj
amaitu	amaitu	6	Perf	0	nsubj_obj_obl
amaitu	amaitu	6	Perf	0	nsubj_xcomp
amaitu	amaitu	6	Perf	0	nsubj_obl_obl
amaitu	amaitu	6	Perf	0	obj
amaitu	amaitu	6	Perf	0	advmod
amaitu	amaitu	6	Perf	0	obj_obl
amaitu	amaitu	6	Perf	0	obj_obl
amaitu	amaitu	6	Perf	0	nsubj_obl
amaitu	amaitu	6	Perf	0	nsubj_obl_obl
amaitu	amaitu	6	Perf	0	obl
amaitu	amaitu	6	Perf	0	advmod_advmod_nsubj
