LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
благодаря	благодаря	9	Imp	0	iobj_nsubj
благодаря	благодаря	9	Imp	0	advmod_iobj_obl
благодаря	благодари	9	Perf	1	iobj_nsubj
благодаря	благодари	9	Perf	1	advmod_iobj_nsubj_obl
благодаря	благодари	9	Perf	1	nsubj_obj_obl
благодаря	благодари	9	Perf	1	iobj_nsubj_obl
благодаря	благодарил	10	Perf	1	iobj_obl
благодаря	благодари	9	Perf	1	iobj
дойда	ела	3	Imp	1	advcl
дойда	дойдеш	6	Perf	0	advmod
дойда	дошъл	5	Perf	0	advmod
дойда	дойде	5	Perf	0	nsubj_obl
дойда	дойдоха	7	Perf	0	iobj_nsubj
дойда	дойде	5	Perf	0	advmod_advmod_nsubj
дойда	дойде	5	Perf	0	obj
дойда	дойдеш	6	Perf	0	nsubj
дойда	дойдеш	6	Perf	0	advmod_advmod
дойда	дойде	5	Perf	0	advmod
дойда	дойде	5	Perf	0	nsubj
дойда	дойдеш	6	Perf	0	nsubj
дойда	дойде	5	Perf	0	obj
дойда	дойдоха	7	Perf	0	advmod_nsubj
дойда	дойде	5	Perf	0	advmod_nsubj
дойда	дойде	5	Perf	0	advmod_advmod_nsubj
дойда	дошъл	5	Perf	0	nsubj
дойда	дошъл	5	Perf	0	nsubj
дойда	дошъл	5	Perf	0	nsubj
дойда	дойдоха	7	Perf	0	advmod_nsubj
дойда	дойде	5	Perf	0	advmod_nsubj
дойда	дойде	5	Perf	0	csubj
дойда	дойдеш	6	Perf	0	advmod
дойда	дойде	5	Perf	0	advmod
дойда	дойда	5	Perf	0	advcl_advmod
дойда	дойде	5	Perf	0	nsubj
дойда	дойде	5	Perf	0	nsubj_obj
дойда	дойде	5	Perf	0	nsubj
дойда	дошла	5	Perf	0	nsubj_obl
дойда	дойде	5	Perf	0	iobj
дойда	дойде	5	Perf	0	nsubj_obl
дойда	дойде	5	Perf	0	nsubj_obl
дойда	дойде	5	Perf	0	advcl_advmod_advmod
дойда	дойде	5	Perf	0	advmod
дойда	дошла	5	Perf	0	advmod_nsubj
дойда	дойде	5	Perf	0	advmod_advmod_advmod_nsubj
дойда	дойдат	6	Perf	0	nsubj_obj
дойда	дойдоха	7	Perf	0	iobj_nsubj_obl
дойда	дойде	5	Perf	0	advmod_nsubj_obl
дойда	дошъл	5	Perf	0	advmod
дойда	дошла	5	Perf	0	nsubj_obl
дойда	дойдохме	8	Perf	0	advmod_obl
дойда	дойде	5	Perf	0	nsubj_obl_obl
дойда	дойде	5	Perf	0	nsubj_obl
дойда	дошли	5	Perf	0	advcl_nsubj
дойда	дошъл	5	Perf	0	advmod_advmod_nsubj
дойда	дойде	5	Perf	0	iobj_nsubj_obl
дойда	дойде	5	Perf	0	nsubj_obj
дойда	дошъл	5	Perf	0	advmod_nsubj
дойда	дойдат	6	Perf	0	advmod_nsubj
дойда	дошло	5	Perf	0	advmod_nsubj_obl
дойда	дойде	5	Perf	0	iobj_nsubj_obl
дойда	дойдоха	7	Perf	0	nsubj_xcomp
дойда	дойде	5	Perf	0	advmod_nsubj
дойда	дойде	5	Perf	0	advcl_advmod_iobj_nsubj_obl
дойда	дошли	5	Perf	0	advcl_iobj_obl
дойда	дойде	5	Perf	0	nsubj_obl
дойда	дошла	5	Perf	0	iobj_nsubj_obl
дойда	дойдоха	7	Perf	0	iobj_nsubj_obl
дойда	дойде	5	Perf	0	advmod_nsubj
дойда	дойде	5	Perf	0	iobj_nsubj
дойда	дойде	5	Perf	0	iobj
дойда	дойдоха	7	Perf	0	nsubj_obj
дойда	дойде	5	Perf	0	obj
дойда	дойде	5	Perf	0	nsubj
дойда	дойде	5	Perf	0	advmod
дойда	дойде	5	Perf	0	advmod_nsubj
дойда	дошъл	5	Perf	0	iobj_nsubj
дойда	дойде	5	Perf	0	nsubj
дойда	дойде	5	Perf	0	iobj_nsubj
дойда	дойдоха	7	Perf	0	nsubj_obl
дойда	дойде	5	Perf	0	csubj
започна	започна	7	Perf	0	ccomp_nsubj
започна	започна	7	Perf	0	ccomp_nsubj
започна	започна	7	Perf	0	advmod_nsubj_obj_obl
започна	започнал	8	Perf	0	advmod_nsubj
започна	започнали	9	Perf	0	ccomp
започна	започна	7	Perf	0	nsubj_obj
започна	започна	7	Perf	0	nsubj_obj
започна	започна	7	Perf	0	advmod_nsubj_obj
започна	започнаха	9	Perf	0	advcl_nsubj_obl_obl
започна	започнем	8	Perf	0	xcomp
започна	започнаха	9	Perf	0	nsubj_xcomp
започна	започне	7	Perf	0	obl
започна	започне	7	Perf	0	nsubj_obl
започна	започне	7	Perf	0	nsubj
започна	започне	7	Perf	0	nsubj
започна	започнеш	8	Perf	0	advmod
започна	започнеш	8	Perf	0	xcomp
започна	започнато	9	Perf	0	advcl_nsubj:pass
започна	започна	7	Perf	0	obl
започна	започнали	9	Perf	0	advmod_xcomp
започна	започнали	9	Perf	0	nsubj_obl_xcomp
започна	започнало	9	Perf	0	nsubj_obl_obl
започна	започне	7	Perf	0	obl
започна	започнала	9	Perf	0	advmod_nsubj_obl_xcomp
започна	започне	7	Perf	0	advmod_nsubj
започна	започнал	8	Perf	0	advcl_advmod_xcomp
започна	започнала	9	Perf	0	nsubj_obj
започна	започнат	8	Perf	0	advmod_xcomp
започна	започнала	9	Perf	0	advmod_advmod_ccomp
започна	започна	7	Perf	0	advcl_obl_xcomp
започна	започнала	9	Perf	0	obj
започна	започнаха	9	Perf	0	advmod_nsubj_obj_obl
започна	започнах	8	Perf	0	obj_obl
започна	започна	7	Perf	0	nsubj_obl
започна	започнаха	9	Perf	0	nsubj_obl
започна	започна	7	Perf	0	advmod_nsubj
започна	започнаха	9	Perf	0	advcl_advmod_nsubj_xcomp
започна	започна	7	Perf	0	advmod_nsubj_obj
започна	започнат	8	Perf	0	advmod_nsubj_xcomp
започна	започна	7	Perf	0	nsubj_obj
започна	започнаха	9	Perf	0	nsubj_xcomp
започна	започна	7	Perf	0	xcomp
започна	започнали	9	Perf	0	obl_obl_xcomp
започна	започнали	9	Perf	0	advcl_nsubj
започна	започнали	9	Perf	0	advcl_advmod_nsubj_xcomp
започна	започна	7	Perf	0	nsubj_xcomp
започна	започне	7	Perf	0	obj
започна	започнали	9	Perf	0	nsubj
започна	започна	7	Perf	0	nsubj_obl
започна	започна	7	Perf	0	nsubj_obl
започна	започна	7	Perf	0	nsubj_obl_obl
започна	започнат	8	Perf	0	obl_xcomp
започна	започна	7	Perf	0	advmod_advmod_nsubj_xcomp
започна	започнали	9	Perf	0	advcl_nsubj_obl_obl
започна	започне	7	Perf	0	advcl_nsubj_obl
започна	започне	7	Perf	0	advmod_nsubj
започна	започна	7	Perf	0	nsubj_obl
започна	започна	7	Perf	0	nsubj
започна	започнеш	8	Perf	0	advmod_obj
започна	започнала	9	Perf	0	advmod_nsubj
започна	започна	7	Perf	0	nsubj_obj
започна	започнаха	9	Perf	0	advmod_nsubj_xcomp
започна	започна	7	Perf	0	obj
започна	започна	7	Perf	0	advcl_iobj_nsubj
започна	започне	7	Perf	0	obj
започна	започна	7	Perf	0	advmod_nsubj_obl_obl
започна	започна	7	Perf	0	nsubj_xcomp
започна	започнаха	9	Perf	0	ccomp_nsubj
започна	започне	7	Perf	0	nsubj_obl_obl
започна	започнали	9	Perf	0	advcl_nsubj_obl
започна	започнал	8	Perf	0	nsubj_obl
започна	започна	7	Perf	0	advmod_advmod_nsubj
започна	започна	7	Perf	0	advmod_nsubj
коментирам	коментирате	11	Imp	0	advmod_advmod_obj
коментирам	коментирам	10	Imp	0	obj
коментирам	коментират	10	Imp	0	nsubj
коментирам	коментирам	10	Imp	0	advmod_obj
коментирам	коментирам	10	Imp	0	advmod_obj
коментирам	коментирали	11	Imp	0	advmod_obj
коментирам	коментира	9	Imp	0	nsubj
коментирам	коментира	9	Imp	0	nsubj
коментирам	коментира	9	Imp	0	advmod_nsubj
коментирам	коментира	9	Imp	0	nsubj_obj_obl
коментирам	коментира	9	Imp	0	advmod_nsubj
коментирам	коментира	9	Imp	0	nsubj
коментирам	коментира	9	Imp	0	nsubj
коментирам	коментира	9	Imp	0	nsubj_obj_obl
коментирам	коментираха	11	Imp	0	nsubj
коментирам	коментира	9	Imp	0	nsubj
коментирам	коментираме	11	Imp	0	obj
коментирам	коментирате	11	Imp	0	advmod_obj
коментирам	коментирате	11	Imp	0	advmod_obj
коментирам	коментирате	11	Imp	0	advmod_obj
коментирам	коментира	9	Imp	0	nsubj
коментирам	коментирате	11	Imp	0	advmod_obj
коментирам	коментира	9	Imp	0	nsubj
коментирам	коментира	9	Imp	0	nsubj
коментирам	коментирате	11	Imp	0	advmod_obj
коментирам	коментира	9	Imp	0	nsubj
коментирам	коментира	9	Imp	0	nsubj
коментирам	коментира	9	Imp	0	nsubj
коментирам	коментира	9	Imp	0	nsubj
коментирам	коментира	9	Imp	0	nsubj
коментирам	коментираха	11	Imp	0	obl
коментирам	коментирано	11	Imp	0	csubj_obl_obl
коментирам	коментират	10	Imp	0	obj_obl
коментирам	коментира	9	Imp	0	ccomp_nsubj
коментирам	коментирам	10	Imp	0	obj
коментирам	коментира	9	Perf	1	nsubj
коментирам	коментира	9	Perf	1	advmod_nsubj_obj
коментирам	коментира	9	Perf	1	advmod_nsubj_obj
