LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
avere	aveva	5	Imp	0	obj
avere	aveva	5	Imp	0	nsubj_obj
avere	avevano	7	Imp	0	nsubj_obj
avere	aveva	5	Imp	0	nsubj_obj_obl
avere	aveva	5	Imp	0	advmod_obj_obl
avere	avevano	7	Imp	0	nsubj_obj_obl
avere	avevano	7	Imp	0	obj_obl
avere	avevano	7	Imp	0	nsubj_obj_obl_obl_obl
avere	aveva	5	Imp	0	nsubj_obj
avere	aveva	5	Imp	0	nsubj_obj
avere	avevano	7	Imp	0	obj
avere	avevano	7	Imp	0	nsubj_obj
avere	aveva	5	Imp	0	advmod_nsubj_obj_obl_obl
avere	aveva	5	Imp	0	advcl_nsubj_obj
avere	avevano	7	Imp	0	nsubj_obj_obl_xcomp
avere	aveva	5	Imp	0	nsubj_obj
avere	ebbe	4	Perf	1	obj_obl
avere	ebbero	6	Perf	1	nsubj_obj_obl
avere	ebbe	4	Perf	1	nsubj_obj_obl
avere	ebbe	4	Perf	1	obj
avere	ebbe	4	Perf	1	nsubj_obj_obl
avere	ebbe	4	Perf	1	nsubj_obj_obl
avere	ebbe	4	Perf	1	nsubj_obj_obl_obl
essere	era	3	Imp	1	advmod_nsubj_obl
essere	erano	5	Imp	1	advmod_obl
essere	era	3	Imp	1	nsubj_obl
essere	erano	5	Imp	1	nsubj_obl_obl
essere	fu	2	Perf	0	advcl_advmod_advmod_nsubj
essere	furono	6	Perf	0	nsubj_obl_obl
venire	venne	5	Perf	0	obl_xcomp
