LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
accipio	accipiebat	10	Imp	1	advcl_advmod_obj_obl
accipio	acciperet	9	Imp	1	advcl_advmod_obj_obl
accipio	acciperet	9	Imp	1	advcl_advmod_advmod_iobj_obj
accipio	accipiebat	10	Imp	1	obj_obl_obl
accipio	accipiebat	10	Imp	1	advcl_advmod_nsubj_obj_obl
accipio	acciperet	9	Imp	1	nsubj_obj
accipio	acciperet	9	Imp	1	nsubj_obj
accipio	accepisset	10	Perf	0	obj_obl
accipio	acceptum	8	Perf	0	obl
accipio	accepit	7	Perf	0	nsubj_obj_obl
accipio	accepit	7	Perf	0	advcl_advmod_nsubj_obj_obl
accipio	accepit	7	Perf	0	iobj_obj
accipio	accepit	7	Perf	0	nsubj_obj
accipio	accepta	7	Perf	0	nsubj:pass_obl
accipio	accepta	7	Perf	0	advmod_nsubj_obl
accipio	accepta	7	Perf	0	obl
accipio	acceptum	8	Perf	0	obl
accipio	acceptum	8	Perf	0	advmod
accipio	acceptis	8	Perf	0	obl
accipio	acceptam	8	Perf	0	obj
accipio	accepimus	9	Perf	0	advmod_obj
accipio	acceptus	8	Perf	0	advcl_nsubj:pass_obl
accipio	accepit	7	Perf	0	obj
accipio	accepta	7	Perf	0	obj
accipio	accepta	7	Perf	0	obj
accipio	accepta	7	Perf	0	obj_obl
accipio	acceptas	8	Perf	0	obj
accipio	acceptas	8	Perf	0	obj
accipio	accepta	7	Perf	0	advmod
accipio	accepta	7	Perf	0	advcl_obl
accipio	accepta	7	Perf	0	advmod
accipio	acceptam	8	Perf	0	obl
accipio	acceptas	8	Perf	0	obj
accipio	accepta	7	Perf	0	advmod:emph
accipio	accepit	7	Perf	0	advmod:emph_nsubj_obj_obl
accipio	accepit	7	Perf	0	obj
accipio	accepisse	9	Perf	0	obj
accipio	acceperit	9	Perf	0	advmod_nsubj_obj
accipio	acceptum	8	Perf	0	obl
accipio	acceptas	8	Perf	0	obj
accipio	acceptas	8	Perf	0	obj
accipio	acceptae	8	Perf	0	advmod_obj
accipio	acceptae	8	Perf	0	obj
accipio	acceptae	8	Perf	0	obj
accipio	acceptas	8	Perf	0	obj_obl
accipio	acceptas	8	Perf	0	advmod_obl
accipio	acceptas	8	Perf	0	obj
accipio	acceptae	8	Perf	0	obj
accipio	acceptas	8	Perf	0	obj
accipio	acceptas	8	Perf	0	obj
accipio	acceptas	8	Perf	0	obj
accipio	acceptas	8	Perf	0	obj
accipio	accepit	7	Perf	0	advmod_advmod:emph_iobj_nsubj_obj
accipio	accepit	7	Perf	0	obj
accipio	accepit	7	Perf	0	advcl_obj
accipio	accepisset	10	Perf	0	advcl_advcl_advmod_advmod_obj
accipio	accepisset	10	Perf	0	advmod_advmod_obj
accipio	accepisset	10	Perf	0	advmod_obj
accipio	accepta	7	Perf	0	obl
accipio	accepta	7	Perf	0	obl
accipio	acceptis	8	Perf	0	obl
accipio	accepit	7	Perf	0	obj_obl_obl
acquiro	acquireret	10	Imp	1	advmod_csubj_obj_obl
acquiro	acquisitus	10	Perf	0	nsubj:pass_obl
acquiro	acquisita	9	Perf	0	obl
acquiro	acquisita	9	Perf	0	advmod_nsubj_obl
acquiro	acquisitarum	12	Perf	0	obj
addo	adderent	8	Imp	1	obj
addo	adderet	7	Imp	1	advcl
addo	additum	7	Perf	0	obl
addo	additum	7	Perf	0	obj
addo	addita	6	Perf	0	nsubj
addo	addita	6	Perf	0	nsubj
