LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
जाणे	जाता	4	Imp	1	advmod_advmod_obl
जाणे	जात	3	Imp	1	nsubj
जाणे	जात	3	Imp	1	nsubj
जाणे	जातो	4	Imp	1	nsubj
जाणे	जातोस	5	Imp	1	advmod
जाणे	जाते	4	Imp	1	advmod
जाणे	गेला	4	Perf	0	advcl_nsubj_nsubj_xcomp
जाणे	गेला	4	Perf	0	nsubj
जाणे	गेली	4	Perf	0	nsubj
जाणे	गेली	4	Perf	0	advmod_advmod_nsubj
जाणे	गेले	4	Perf	0	nsubj_obl
जाणे	गेली	4	Perf	0	nsubj_obl
जाणे	गेला	4	Perf	0	nsubj_obl
जाणे	गेला	4	Perf	0	nsubj_obl
जाणे	जाऊन	4	Perf	0	obl
जाणे	जाऊन	4	Perf	0	obl
जाणे	जाऊन	4	Perf	0	obl
जाणे	गेला	4	Perf	0	advmod_nsubj
जाणे	गेला	4	Perf	0	advcl_nsubj_obl
जाणे	गेला	4	Perf	0	advcl_nsubj_obl
जाणे	गेला	4	Perf	0	advmod_nsubj
जाणे	गेले	4	Perf	0	nsubj
जाणे	गेला	4	Perf	0	nsubj_obl_obl
जाणे	गेला	4	Perf	0	advmod_nsubj_obl
जाणे	गेला	4	Perf	0	nsubj
जाणे	गेले	4	Perf	0	nsubj
जाणे	जाणार	5	Prosp	1	advmod_nsubj_obl
दिसणे	दिसत	4	Imp	0	xcomp
दिसणे	दिसत	4	Imp	0	obj
दिसणे	दिसत	4	Imp	0	obj
दिसणे	दिसतो	5	Imp	0	nsubj_obj
दिसणे	दिसतो	5	Imp	0	obj
दिसणे	दिसतात	6	Imp	0	ccomp_nsubj
दिसणे	दिसत	4	Imp	0	nsubj_obj
दिसणे	दिसतो	5	Imp	0	advmod_nsubj_obj
दिसणे	दिसतं	5	Imp	0	advcl_advmod_obj
दिसणे	दिसली	5	Perf	1	nsubj_obj
दिसणे	दिसला	5	Perf	1	advmod_nsubj_obj
म्हणणे	म्हणते	6	Imp	1	nsubj_obj
म्हणणे	म्हणते	6	Imp	1	advcl_nsubj
म्हणणे	म्हणतो	6	Imp	1	nsubj_obj
म्हणणे	म्हणाला	7	Perf	0	ccomp_nsubj_obl
म्हणणे	म्हणाली	7	Perf	0	advcl_nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	advmod_iobj_nsubj
म्हणणे	म्हणाली	7	Perf	0	nsubj
म्हणणे	म्हणाली	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj_obl
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	advcl_nsubj
म्हणणे	म्हणाली	7	Perf	0	nsubj
म्हणणे	म्हणाली	7	Perf	0	advcl_nsubj
म्हणणे	म्हणाली	7	Perf	0	nsubj
म्हणणे	म्हणाली	7	Perf	0	advcl_advcl_nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj_obl
म्हणणे	म्हणाला	7	Perf	0	advcl_nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj_obj
म्हणणे	म्हणाला	7	Perf	0	advcl
म्हणणे	म्हणाला	7	Perf	0	advcl_nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाले	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	obj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj_obl
म्हणणे	म्हणाली	7	Perf	0	advmod_nsubj_obl
म्हणणे	म्हणाला	7	Perf	0	nsubj_obl
म्हणणे	म्हणाले	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	advcl_nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणाली	7	Perf	0	nsubj
म्हणणे	म्हणाला	7	Perf	0	obj
म्हणणे	म्हणाला	7	Perf	0	obj
म्हणणे	म्हणाली	7	Perf	0	nsubj_obj
म्हणणे	म्हणाली	7	Perf	0	nsubj
म्हणणे	म्हणाली	7	Perf	0	advmod_nsubj_obj
म्हणणे	म्हणाला	7	Perf	0	nsubj
म्हणणे	म्हणून	6	Perf	0	advcl_obj
म्हणणे	म्हणाला	7	Perf	0	iobj_nsubj_obj
येणे	येत	3	Imp	1	advcl_advmod_nsubj
येणे	येत	3	Imp	1	nsubj
येणे	येत	3	Imp	1	advmod_nsubj
येणे	येत	3	Imp	1	nsubj
येणे	येत	3	Imp	1	compound:svc
येणे	येते	4	Imp	1	compound:lvc
येणे	येत	3	Imp	1	obl
येणे	येत	3	Imp	1	advcl_nsubj_obj
येणे	येत	3	Imp	1	advmod_nsubj_obl
येणे	येत	3	Imp	1	advmod_nsubj
येणे	येते	4	Imp	1	compound:lvc
येणे	येतात	5	Imp	1	advmod_nsubj
येणे	येत	3	Imp	1	csubj_obl
येणे	आली	3	Perf	0	nsubj_obj_obl
येणे	येऊन	4	Perf	0	advcl_obl
येणे	आली	3	Perf	0	advmod_nsubj
येणे	आला	3	Perf	0	advmod_advmod_nsubj
येणे	आली	3	Perf	0	advcl
येणे	आला	3	Perf	0	advcl_nsubj
येणे	आली	3	Perf	0	nsubj_obl
येणे	आली	3	Perf	0	obl
येणे	आला	3	Perf	0	nsubj
येणे	आलो	3	Perf	0	advcl
