LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
бꙑти	бѣхѫ	4	Imp	0	advcl_xcomp
бꙑти	бѣ	2	Imp	0	advmod_ccomp_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	advmod_nsubj_obl_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_obl_xcomp
бꙑти	бѣ	2	Imp	0	advcl_advmod_xcomp
бꙑти	бѣ	2	Imp	0	advcl_nsubj_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
бꙑти	бѣахѫ	5	Imp	0	nsubj_xcomp
бꙑти	бѣшѧ	4	Imp	0	nsubj_obl_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	xcomp
бꙑти	бѣсте	5	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	advmod_nsubj_xcomp
бꙑти	бѣ	2	Imp	0	ccomp_iobj_nsubj
бꙑти	бѣхѫ	4	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_obl_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	advcl_nsubj_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	advmod_obl_obl_xcomp
бꙑти	бѣ	2	Imp	0	xcomp
бꙑти	бѣашете	7	Imp	0	xcomp
бꙑти	бѣ	2	Imp	0	xcomp
бꙑти	бѣ	2	Imp	0	nsubj_obl
бꙑти	бѣахѫ	5	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	advmod_xcomp
бꙑти	бѣ	2	Imp	0	xcomp
бꙑти	бѣхѫ	4	Imp	0	advcl_nsubj_xcomp
бꙑти	бѣахѫ	5	Imp	0	xcomp
бꙑти	бѣахѫ	5	Imp	0	nsubj_xcomp
бꙑти	бѣахѫ	5	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	advmod_nsubj
бꙑти	бѣахѫ	5	Imp	0	nsubj_xcomp
бꙑти	бѣшѧ	4	Imp	0	nsubj_xcomp
бꙑти	бѣахѫ	5	Imp	0	nsubj_obl_xcomp
бꙑти	бѣ	2	Imp	0	advmod_xcomp
бꙑти	бѣахѫ	5	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	advcl_nsubj_xcomp
бꙑти	бѣашете	7	Imp	0	xcomp
бꙑти	бѣахѫ	5	Imp	0	xcomp
бꙑти	бѣ	2	Imp	0	xcomp
бꙑти	бѣахѫ	5	Imp	0	advcl_advmod_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	advmod_nsubj
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	nsubj
бꙑти	бѣахѫ	5	Imp	0	advcl_nsubj
бꙑти	бѣашете	7	Imp	0	nsubj_xcomp
бꙑти	бѣхъ	4	Imp	0	advcl_obl_obl_xcomp
бꙑти	бѣ	2	Imp	0	xcomp
бꙑти	бѣахѫ	5	Imp	0	advmod_nsubj_xcomp
бꙑти	бѣ	2	Imp	0	advmod_advmod_nsubj_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	xcomp
бꙑти	бѣ	2	Imp	0	advmod_xcomp
бꙑти	бѣашете	7	Imp	0	advcl_advmod_nsubj_xcomp
бꙑти	бѣ	2	Imp	0	advcl_advmod_iobj_nsubj
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
бꙑти	бѣашете	7	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	advmod_nsubj_obl_xcomp
бꙑти	бѣшѧ	4	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
бꙑти	бѣахѫ	5	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
бꙑти	бѣ	2	Imp	0	obl_xcomp
бꙑти	бѣаше	5	Imp	0	xcomp
бꙑти	бѣ	2	Imp	0	advmod_iobj_nsubj_obl
бꙑти	бѣахѫ	5	Imp	0	advcl_nsubj_xcomp
бꙑти	бѣ	2	Imp	0	nsubj_obl
бꙑти	бѣ	2	Imp	0	nsubj_xcomp
