LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
автоматизировать	автоматизировал	15	Imp	1	nsubj_obj_obl
автоматизировать	автоматизирована	16	Perf	0	advmod_nsubj:pass
автоматизировать	автоматизирован	15	Perf	0	nsubj:pass
автоматизировать	автоматизирована	16	Perf	0	nsubj_obl
автоматизировать	автоматизировано	16	Perf	0	nsubj
арестовывать	арестовывают	12	Imp	1	obj
арестовывать	арестовывать	12	Imp	1	obj
арестовывать	арестовывают	12	Imp	1	obj_obl
арестовывать	арестовывал	11	Imp	1	advmod_nsubj_obj
арестовывать	арестовывают	12	Imp	1	obj_obl
арестовывать	арестованные	12	Perf	0	obl
арестовывать	арестовали	10	Perf	0	nsubj_obj
арестовывать	арестовать	10	Perf	0	advmod
арестовывать	арестован	9	Perf	0	nsubj_obl
арестовывать	арестован	9	Perf	0	nsubj:pass_obl
арестовывать	арестован	9	Perf	0	nsubj:pass_obl
арестовывать	арестовали	10	Perf	0	advcl_obj
арестовывать	арестован	9	Perf	0	advcl_nsubj
арестовывать	арестовавших	12	Perf	0	obl_obl
арестовывать	арестовали	10	Perf	0	obl_obl_obl
арестовывать	арестован	9	Perf	0	advmod_nsubj
арестовывать	арестованного	13	Perf	0	obl
арестовывать	арестовала	10	Perf	0	nsubj_obl
арестовывать	арестованы	10	Perf	0	nsubj:pass_obl
арестовывать	арестовать	10	Perf	0	obj
арестовывать	арестовала	10	Perf	0	nsubj_obl_obl_obl
арестовывать	арестован	9	Perf	0	advmod_nsubj
арестовывать	арестованного	13	Perf	0	obl_obl
арестовывать	арестованы	10	Perf	0	nsubj_obl_obl_obl
арестовывать	арестован	9	Perf	0	advmod_obl
арестовывать	арестован	9	Perf	0	nsubj_obl_obl
арестовывать	арестованы	10	Perf	0	nsubj_obl_obl_obl
арестовывать	арестованы	10	Perf	0	nsubj:pass_obl
арестовывать	арестовать	10	Perf	0	obj
арестовывать	арестован	9	Perf	0	nsubj
арестовывать	арестованы	10	Perf	0	nsubj:pass_obl_obl
арестовывать	арестованы	10	Perf	0	nsubj
арестовывать	арестовали	10	Perf	0	obj
арестовывать	арестовал	9	Perf	0	obj
арестовывать	арестовали	10	Perf	0	obj_obl
арестовывать	арестовали	10	Perf	0	obj_obl
арестовывать	арестован	9	Perf	0	nsubj_obl
арестовывать	арестовали	10	Perf	0	nsubj_obj_obl_obl
арестовывать	арестованы	10	Perf	0	nsubj_obl
арестовывать	арестован	9	Perf	0	nsubj_obl
атаковать	атакует	7	Imp	0	nsubj
атаковать	атакуют	7	Imp	0	nsubj_obj
атаковать	атаковать	9	Imp	0	advmod_obj_obl
атаковать	атакуют	7	Imp	0	nsubj_obj_obl
атаковать	атаковали	9	Imp	0	nsubj_obl
атаковать	атаковали	9	Imp	0	nsubj_obj
атаковать	атакуют	7	Imp	0	advmod
атаковать	атаковал	8	Perf	1	advmod_nsubj_obj_obl
бежать	бегущего	8	Imp	0	advmod
бежать	бежавший	8	Imp	0	obl
бежать	бежит	5	Imp	0	nsubj
бежать	бежал	5	Imp	0	nsubj_obl
бежать	бежал	5	Imp	0	advcl_advmod_nsubj
бежать	бежал	5	Imp	0	nsubj_obl
бежать	бежит	5	Imp	0	nsubj
бежать	бежит	5	Imp	0	nsubj
бежать	бежал	5	Imp	0	nsubj
бежать	бежал	5	Imp	0	advcl_nsubj
бежать	бежал	5	Imp	0	advcl_nsubj_obl
бежать	бежал	5	Imp	0	advcl_nsubj
бежать	бежал	5	Imp	0	nsubj_obl
бежать	бежал	5	Imp	0	advmod
бежать	бежал	5	Imp	0	advmod_nsubj
бежать	бежал	5	Imp	0	nsubj_obl
бежать	бежал	5	Imp	0	advmod_nsubj
