LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
dať	nedalo	6	Imp	1	expl:pass_nsubj:pass_xcomp
dať	nedalo	6	Imp	1	expl:pass_nsubj:pass_xcomp
dať	nedajú	6	Imp	1	nsubj_obj
dať	dal	3	Imp,Perf	1	iobj_nsubj_obj_obl
dať	dať	3	Imp,Perf	1	obj_obl
dať	dá	2	Imp,Perf	1	expl:pv_nsubj_xcomp
dať	dali	4	Imp,Perf	1	iobj_nsubj_obj
dať	dá	2	Imp,Perf	1	advmod_expl:pv_nsubj_obl_xcomp
dať	dá	2	Imp,Perf	1	expl:pv_nsubj_xcomp
dať	nedajú	6	Imp,Perf	1	expl:pass_obl_xcomp
dať	dalo	4	Imp,Perf	1	expl:pass_nsubj:pass_xcomp
dať	dal	3	Imp,Perf	1	advmod_obj
dať	dali	4	Imp,Perf	1	iobj_obj_obl
dať	dať	3	Imp,Perf	1	advmod_expl:pv_obl:arg
dať	dali	4	Imp,Perf	1	advmod_obj
dať	dal	3	Imp,Perf	1	nsubj_xcomp
dať	dala	4	Imp,Perf	1	advmod_obj_obl
dať	dala	4	Imp,Perf	1	advmod_ccomp
dať	dám	3	Imp,Perf	1	advcl_advmod_obj
dať	dal	3	Imp,Perf	1	iobj_nsubj_obj_obl
dať	daj	3	Imp,Perf	1	iobj_obj
dať	dať	3	Imp,Perf	1	advmod_obj
dať	nedalo	6	Imp,Perf	1	nsubj_obj
dať	dal	3	Imp,Perf	1	expl:pv_xcomp
dať	nedala	6	Imp,Perf	1	advmod:emph_expl:pv_nsubj_xcomp
dať	dalo	4	Imp,Perf	1	expl:pass_nsubj:pass_xcomp
dať	nedá	4	Imp,Perf	1	expl:pass_nsubj:pass_xcomp
dať	dať	3	Imp,Perf	1	xcomp
dať	nedalo	6	Imp,Perf	1	expl:pv_nsubj_xcomp
dať	dali	4	Imp,Perf	1	iobj_nsubj_obj
dať	dali	4	Imp,Perf	1	iobj_obj
dať	dal	3	Imp,Perf	1	iobj_obj_obl
dať	dal	3	Imp,Perf	1	iobj_obj
dať	dal	3	Imp,Perf	1	iobj_obj_obl
dať	dal	3	Imp,Perf	1	iobj_obj
dať	dal	3	Imp,Perf	1	iobj_nsubj_obj
dať	dal	3	Imp,Perf	1	iobj_obj_obl
dať	dal	3	Imp,Perf	1	iobj_nsubj_obj_obl
dať	nedalo	6	Imp,Perf	1	advcl_nsubj_obj
dať	dal	3	Imp,Perf	1	iobj_nsubj_obj
dať	daj	3	Imp,Perf	1	iobj_obj
dať	nedáte	6	Imp,Perf	1	advmod_advmod_iobj_obj
dať	nedajú	6	Imp,Perf	1	advmod_obj
dať	dali	4	Imp,Perf	1	nsubj_obj
dať	dal	3	Imp,Perf	1	advmod_advmod_expl:pv_xcomp
dať	dala	4	Imp,Perf	1	iobj_nsubj_obj_obl
dať	dalo	4	Imp,Perf	1	expl:pv_nsubj_xcomp
dať	dal	3	Imp,Perf	1	nsubj_obj
dať	nedá	4	Imp,Perf	1	iobj_nsubj_xcomp
dať	dal	3	Imp,Perf	1	nsubj_xcomp
dať	dal	3	Imp,Perf	1	nsubj_obj_obl
dať	dali	4	Imp,Perf	1	nsubj_xcomp
dať	nedá	4	Imp,Perf	1	advcl_expl:pv_nsubj_xcomp
dať	dá	2	Imp,Perf	1	expl:pv_nsubj_xcomp
dať	dal	3	Imp,Perf	1	obl_xcomp
dať	dala	4	Imp,Perf	1	iobj_nsubj_obj_obl
dať	dal	3	Imp,Perf	1	expl:pv_nsubj_obl_obl:arg
dať	dali	4	Imp,Perf	1	iobj_nsubj_obj
dať	dali	4	Imp,Perf	1	advmod_iobj_obj
dať	dal	3	Imp,Perf	1	iobj_obj_obl
dať	dal	3	Imp,Perf	1	iobj_nsubj_obj_obl_obl
dať	dá	2	Imp,Perf	1	expl:pv_xcomp
dať	dať	3	Perf	0	expl:pv_obl
dať	dal	3	Perf	0	advmod_expl:pv_obj
dať	dala	4	Perf	0	expl:pv_obj_obl
dať	dali	4	Perf	0	iobj_obj
dať	dala	4	Perf	0	iobj_obj
dať	dali	4	Perf	0	advmod_advmod_iobj_obj
dať	dali	4	Perf	0	expl:pass_iobj_nsubj:pass_xcomp
dať	dal	3	Perf	0	advmod_expl:pv_nsubj_obj_obl
dať	dal	3	Perf	0	expl:pv_obj
dať	dali	4	Perf	0	advcl_expl:pv_nsubj_obj_obl
dať	nedala	6	Perf	0	advmod_expl:pv_nsubj_xcomp
dať	dal	3	Perf	0	iobj_obj
dať	dala	4	Perf	0	iobj_nsubj_obj_obl
dať	dal	3	Perf	0	obj
diať	deje	4	Imp	0	expl:pv_nsubj_obl:arg
diať	deje	4	Imp	0	expl:pv_nsubj
diať	deje	4	Imp	0	expl:pv_nsubj_obl:arg
diať	deje	4	Imp	0	expl:pv_nsubj_obl
diať	deje	4	Imp	0	advmod_expl:pv_nsubj
diať	diali	5	Imp	0	advcl_expl:pv_nsubj
diať	deje	4	Imp	0	advmod_expl:pv_nsubj
diať	deje	4	Imp	0	expl:pv_nsubj
diať	deje	4	Imp	0	expl:pv_nsubj
diať	deje	4	Imp	0	expl:pv_nsubj_obl
diať	nedialo	7	Perf	1	expl:pv_nsubj_obl
dovoliť	nedovolila	10	Imp	1	iobj_nsubj_xcomp
dovoliť	dovolil	7	Perf	0	expl:pv_nsubj_xcomp
dovoliť	dovoľ	5	Perf	0	advmod
dovoliť	dovolím	7	Perf	0	iobj_xcomp
dovoliť	dovoliť	7	Perf	0	expl:pv_obj
dovoliť	dovoliť	7	Perf	0	expl:pv_obj
dovoliť	dovoliť	7	Perf	0	iobj_xcomp
dovoliť	dovolil	7	Perf	0	advmod_expl:pv_xcomp
dovoliť	dovolila	8	Perf	0	ccomp_iobj
dovoliť	nedovolila	10	Perf	0	iobj_nsubj_xcomp
dovoliť	nedovolí	8	Perf	0	ccomp_nsubj
dovoliť	dovolíme	8	Perf	0	ccomp_iobj
dovoliť	dovoľte	7	Perf	0	advmod
dovoliť	dovoliť	7	Perf	0	expl:pv_xcomp
dovoliť	dovoliť	7	Perf	0	iobj_xcomp
dovoliť	nedovolili	10	Perf	0	iobj_nsubj_obj
hodiť	hodilo	6	Imp	1	advmod_expl:pv_nsubj_obj
hodiť	hodila	6	Imp	1	advmod_expl:pv_nsubj_obl
hodiť	hodil	5	Perf	0	iobj_obj_obl
hodiť	hodil	5	Perf	0	iobj_obj_obl
hodiť	hodila	6	Perf	0	obj_obl
hodiť	hodil	5	Perf	0	advmod_obj_obl
hodiť	hodiť	5	Perf	0	expl:pv_nsubj_obj_obl
hodiť	hodil	5	Perf	0	nsubj_obj_obl
hodiť	hodil	5	Perf	0	iobj_nsubj_obj
hodiť	hodil	5	Perf	0	nsubj_obj_obl_obl
hodiť	hodil	5	Perf	0	expl:pv_obj_obl
hodiť	hodil	5	Perf	0	obj_obl
hodiť	hodili	6	Perf	0	advmod_obj_obl
hodiť	hodil	5	Perf	0	obj_obl
jesť	jesť	4	Imp	0	obj
jesť	jeme	4	Imp	0	obj_obl
jesť	jedli	5	Imp	0	advmod_nsubj
jesť	jedli	5	Imp	0	advmod_nsubj
jesť	jedia	5	Imp	0	obj_obl
jesť	jedli	5	Imp	0	obj
pochádzať	pochádzala	10	Imp	0	nsubj_obl
pochádzať	pochádzajú	10	Imp	0	nsubj_obl
pochádzať	pochádza	8	Imp	0	nsubj_obl
pochádzať	pochádzali	10	Imp	0	nsubj_obl
pochádzať	pochádza	8	Imp	0	advmod_nsubj
pochádzať	pochádza	8	Imp	0	nsubj_obl
pochádzať	pochádza	8	Imp	0	advmod_nsubj_obl
pochádzať	pochádzala	10	Imp	0	nsubj_obl
pochádzať	pochádzali	10	Imp	0	advmod_nsubj
pochádzať	pochádza	8	Imp	0	advcl_advmod_nsubj
pochádzať	pochádzajú	10	Imp	0	advmod_nsubj_obl
pochádzať	pochádzal	9	Imp	0	nsubj_obl
pochádzať	pochádza	8	Imp	0	nsubj_obl
pochádzať	pochádza	8	Imp	0	nsubj_obl
pomôcť	pomôžem	7	Imp	1	advmod_nsubj_obj
pomôcť	nepomôže	8	Perf	0	advcl_advmod_nsubj_obj_obl:arg
pomôcť	pomohli	7	Perf	0	xcomp
pomôcť	pomôcť	6	Perf	0	obj_obl
pomôcť	pomohli	7	Perf	0	iobj_nsubj_xcomp
pomôcť	pomohol	7	Perf	0	nsubj_obj_obl
pomôcť	pomohol	7	Perf	0	nsubj_obj_obl
pomôcť	pomohla	7	Perf	0	iobj_nsubj_xcomp
pomôcť	pomôže	6	Perf	0	advmod_nsubj_obj
pomôcť	pomôcť	6	Perf	0	advmod_obj
pomôcť	pomohli	7	Perf	0	advmod_obj
pomôcť	pomôže	6	Perf	0	obj
pomôcť	pomôcť	6	Perf	0	obj
pomôcť	nepomôžeš	9	Perf	0	obj
pomôcť	pomôžeš	7	Perf	0	xcomp
pomôcť	pomôžem	7	Perf	0	obj
pomôcť	pomôcť	6	Perf	0	advmod_obj
pomôcť	pomôcť	6	Perf	0	obj
pomôcť	pomôcť	6	Perf	0	advmod_obj
pomôcť	pomôžu	6	Perf	0	iobj_xcomp
pomôcť	pomôžu	6	Perf	0	advmod_obj
pomôcť	nepomohlo	9	Perf	0	advcl_nsubj
pomôcť	pomohol	7	Perf	0	iobj_xcomp
pomôcť	pomôžu	6	Perf	0	iobj_nsubj_xcomp
pomôcť	pomôcť	6	Perf	0	obl:arg
pomôcť	nepomohlo	9	Perf	0	nsubj
pomôcť	pomohol	7	Perf	0	advmod_nsubj_obj_obl_obl
prísť	prišiel	7	Perf	0	advmod_nsubj
prísť	prísť	5	Perf	0	advmod
prísť	prišlo	6	Perf	0	advmod_advmod_nsubj_obl
prísť	prísť	5	Perf	0	obl
prísť	prišlo	6	Perf	0	advmod_nsubj_obl
prísť	prišla	6	Perf	0	obl:arg
prísť	prišla	6	Perf	0	nsubj_obl
prísť	prídeme	7	Perf	0	advmod_advmod_obl:arg
prísť	prišiel	7	Perf	0	obl
prísť	prišla	6	Perf	0	obl
prísť	prídem	6	Perf	0	obl_obl
prísť	prišiel	7	Perf	0	advmod_nsubj
prísť	prišla	6	Perf	0	advcl_advmod_nsubj_obl
prísť	prišla	6	Perf	0	obl
prísť	príde	5	Perf	0	nsubj_obl
prísť	prišiel	7	Perf	0	nsubj_obl_obl
prísť	neprišiel	9	Perf	0	nsubj_obl_obl
prísť	neprídu	7	Perf	0	nsubj_obl_obl
prísť	nepríde	7	Perf	0	advmod_nsubj_obl
prísť	prísť	5	Perf	0	obl
prísť	prišlo	6	Perf	0	advmod_advmod_nsubj
prísť	príde	5	Perf	0	nsubj
