LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
misliti	misli	5	Imp	0	advmod_ccomp
misliti	mislim	6	Imp	0	ccomp
misliti	mislil	6	Imp	0	nsubj_obl_obl
misliti	mislili	7	Imp	0	advmod_nsubj_obl
misliti	misli	5	Imp	0	obj_obl
misliti	mislijo	7	Imp	0	xcomp
misliti	mislimo	7	Imp	0	advmod_obj
misliti	mislim	6	Imp	0	ccomp
misliti	mislil	6	Imp	0	ccomp_nsubj
misliti	mislim	6	Imp	0	advmod_ccomp
misliti	mislim	6	Imp	0	advmod_obl_obl
misliti	mislila	7	Imp	0	advmod_obl
misliti	misli	5	Imp	0	advmod_advmod_obj
misliti	mislijo	7	Imp	0	nsubj_obl
misliti	mislili	7	Imp	0	ccomp_obl
misliti	mislijo	7	Imp	0	ccomp
misliti	mislim	6	Imp	0	advmod_advmod_advmod_advmod
misliti	mislim	6	Imp	0	advmod_obl_obl
misliti	mislijo	7	Imp	0	advmod_xcomp
misliti	mislila	7	Imp	0	advcl_ccomp
misliti	mislimo	7	Imp	0	advmod_obj_obl
misliti	mislila	7	Imp	0	nsubj_obj_obl
misliti	mislil	6	Imp	0	advmod_obj_obl
misliti	misliti	7	Imp	0	obj
misliti	misliti	7	Imp	0	obj
misliti	mislim	6	Imp	0	obj
misliti	mislil	6	Imp	0	obj
misliti	mislijo	7	Imp	0	ccomp
misliti	mislim	6	Imp	0	ccomp
misliti	misli	5	Imp	0	advmod_obl
misliti	misliti	7	Imp	0	advmod_advmod_obl
misliti	mislil	6	Imp	0	advmod_obl
misliti	mislila	7	Imp	0	ccomp_obl
misliti	mislim	6	Imp	0	obj
misliti	mislim	6	Imp	0	ccomp
misliti	mislil	6	Imp	0	ccomp_obl
misliti	mislil	6	Imp	0	advmod_ccomp_nsubj
misliti	mislilo	7	Imp	0	advmod_ccomp_obl
misliti	misli	5	Imp	0	ccomp_nsubj
misliti	misl	4	Imp	0	advmod_ccomp_nsubj
misliti	mislil	6	Imp	0	advcl_ccomp
misliti	mislili	7	Imp	0	advmod_obj
misliti	mislil	6	Imp	0	advmod_obj_obl
misliti	mislimo	7	Imp	0	advmod_advmod_ccomp_obl
misliti	mislijo	7	Imp	0	advcl_nsubj_obj_obl
misliti	misl	4	Perf	1	obj_xcomp
pasti	pasejo	6	Imp	1	advmod_nsubj_obl
pasti	pade	4	Perf	0	obl
pasti	padla	5	Perf	0	advcl_advmod_advmod_obl_obl
pasti	padel	5	Perf	0	advmod_obl
pasti	pade	4	Perf	0	advmod_nsubj_obj_obl
pasti	pade	4	Perf	0	advmod_advmod_advmod
pasti	padel	5	Perf	0	advmod_advmod_nsubj_obl
pasti	padli	5	Perf	0	obl_obl
pasti	padel	5	Perf	0	obl
pasti	padlo	5	Perf	0	advmod_advmod_nsubj
pasti	padel	5	Perf	0	obl
pasti	padel	5	Perf	0	nsubj_obl
pasti	padel	5	Perf	0	nsubj_obj_obl
pasti	padli	5	Perf	0	advmod_advmod_advmod_nsubj_obl
pasti	padla	5	Perf	0	nsubj_obl
pasti	pade	4	Perf	0	csubj_obl
pasti	padel	5	Perf	0	advmod_obl
vleči	vlekli	6	Imp	0	advmod_obj_obl_obl
vleči	vlekla	6	Imp	0	nsubj_obj_obl
vleči	vleči	5	Imp	0	advmod_obj_obl_obl
vleči	vleče	5	Imp	0	advmod_nsubj
vleči	vlečemo	7	Imp	0	advmod_obj_obl
vleči	vleči	5	Imp	0	advmod_advmod_obj_obl
vleči	vleče	5	Imp	0	advmod_obj_obl
vleči	vleče	5	Imp	0	advmod_nsubj
vleči	vlekla	6	Imp	0	advmod_nsubj_obj_obl
vleči	vlekla	6	Imp	0	advmod_advmod_advmod_nsubj_obl
vleči	vlekli	6	Imp	0	obj_obl
vleči	vlegel	6	Perf	1	obl
