LEMMA	DEFAULT	FREQUENCY	IC	ASPECT	CHAR_NUMBER
αἱρέω	0	4.72206393745959	2.5661802236055014	Imp	5.2
αἱρέω	1	7.024649030453636	2.4849066497880004	Perf	8
γίγνομαι	0	2.8502617605579994	1.1380873061353698	Perf	8.876923076923077
γίγνομαι	1	3.4693009689642227	1.5833707755033417	Imp	7.485714285714286
γράφω	0	5.078738881398323	1.1060574316879688	Perf	8.714285714285714
γράφω	1	7.024649030453636	1.3862943611198906	Imp	8
δέω	0	4.028916756899645	1.835636211110224	Imp	5.75
δέω	1	6.331501849893691	3.374965596894285	Perf	7.5
δίδωμι	0	3.8891548145244865	1.1112680200251164	Imp	5.565217391304348
δίδωμι	1	5.638354669333745	3.450446704186116	Perf	8.5
δοκέω	0	3.7665524924321545	1.7623582066709458	Imp	6.3076923076923075
δοκέω	1	5.926036741785527	2.8289800494150725	Perf	8.666666666666666
θνήσκω	0	3.528141468987156	1.7020234692182814	Perf	8.272727272727273
θνήσκω	1	5.926036741785527	2.8870978451299982	Imp	7
κάθημαι	0	4.385591700838377	1.9596126338960143	Perf	8.928571428571429
κάθημαι	1	6.331501849893691	2.087193634947819	Imp	4.5
καθίστημι	0	4.6267537576552655	2.75002619865076	Perf	9.636363636363637
καθίστημι	1	7.024649030453636	1.3862943611198906	Imp	7
κατέχω	0	4.2520603082138555	2.23968109795924	Imp	7.875
κατέχω	1	6.331501849893691	3.9392670980701814	Perf	12
κεῖμαι	0	3.59066182596849	1.8151641274872126	Imp	5.32258064516129
κεῖμαι	1	4.827424453117417	2.285484736082946	Perf	8.444444444444445
κοσμέω	0	5.078738881398323	2.492723333050724	Perf	11.428571428571429
κοσμέω	1	6.331501849893691	3.4811217321331034	Imp	8
λανθάνω	0	4.385591700838377	2.705020198618123	Imp	6.571428571428571
λανθάνω	1	5.415211118019536	3.0732248940478635	Perf	8.4
μέλω	0	4.827424453117417	2.7943202402207183	Perf	6.666666666666667
μέλω	1	7.024649030453636	4.110873864173311	Imp	6
μιμνήσκω	0	3.623451648791481	1.8130489925818754	Perf	8.5
μιμνήσκω	1	7.024649030453636	3.091042453358316	Imp	11
οἴχομαι	0	3.6573532004671625	1.2414613528655223	Imp	5.379310344827586
παρασκευάζω	0	4.385591700838377	2.2629702881964144	Imp	13.214285714285714
παρασκευάζω	1	5.926036741785527	3.1045395738098946	Perf	15.666666666666666
πειράω	0	4.827424453117417	1.5967373645140925	Imp	7.666666666666667
πειράω	1	7.024649030453636	2.70805020110221	Perf	10
ποιέω	0	3.1745014287435778	1.3487371936211892	Imp	7.48936170212766
ποιέω	1	3.8057732055854356	2.216064399781581	Perf	9.6
προάγω	0	4.6267537576552655	1.0487856355988676	Imp	6.818181818181818
προάγω	1	7.024649030453636	-0	Perf	8
τάσσω	0	5.232889561225582	2.4975347729243076	Perf	10.5
τάσσω	1	6.331501849893691	2.5375869076169133	Imp	8.5
τίκτω	0	4.028916756899645	2.1609079661472754	Imp	5.6
τίκτω	1	6.331501849893691	3.7256208424938384	Perf	6
τελέω	0	4.827424453117417	2.424171972838585	Perf	11.777777777777779
τελέω	1	6.331501849893691	2.8029010331479984	Imp	6
τεύχω	0	4.19143568639742	2.5923237662902974	Perf	8.529411764705882
τεύχω	1	6.331501849893691	1.4451858789480823	Imp	7.5
τρέπω	0	4.539742380665636	2.236513173571701	Perf	10.833333333333334
τρέπω	1	5.926036741785527	1.0593512767826485	Imp	5.666666666666667
τρέφω	0	4.4596996729921	2.418905408524803	Imp	6.461538461538462
τρέφω	1	7.024649030453636	2.302585092994046	Perf	11
τυγχάνω	0	4.385591700838377	1.92659810352748	Imp	8.857142857142858
τυγχάνω	1	5.638354669333745	2.6915732789841575	Perf	9.5
φαίνω	0	3.8057732055854356	1.8737235504503484	Imp	7.2
φαίνω	1	5.232889561225582	2.7316608940656457	Perf	8.166666666666666
ἀξιόω	0	4.4596996729921	1.8516924421100984	Imp	5.769230769230769
ἀξιόω	1	7.024649030453636	3.4965075614664802	Perf	8
ἄρχω	0	3.240459396535375	1.8104287166590864	Imp	4.204545454545454
ἄρχω	1	5.638354669333745	2.592582485079799	Perf	4
ἐγείρω	0	4.72206393745959	2.5888775205397	Imp	6.7
ἐγείρω	1	7.024649030453636	3.713572066704308	Perf	9
ἐπισεύω	0	4.539742380665636	1.7172122760518114	Imp	9
ἐργάζομαι	0	4.827424453117417	2.5839806694655003	Perf	8.777777777777779
ἐργάζομαι	1	6.331501849893691	-0	Imp	9.5
