LEMMA	DEFAULT	FREQUENCY	IC	ASPECT	CHAR_NUMBER
أَبدَى	0	6.256709274440827	5.305042429479763	Perf	4
أَبدَى	1	7.9614573666792525	6.308233115703352	Imp	4
أَبلَغ	0	6.457379969902978	3.670879779896439	Perf	4.611111111111111
أَبلَغ	1	7.9614573666792525	3.0264249178458464	Imp	4
أَتَاح	0	5.710165568072757	4.1121957496064745	Imp	3.9473684210526314
أَتَاح	1	8.249139439131033	3.7881418188839278	Perf	5
أَتَمّ	0	7.045166634805097	3.8106956296309646	Imp	3
أَتَمّ	1	9.347751727799142	7.134890851565884	Perf	4
أَتَى	0	4.847942057468878	2.9415751382788313	Imp	4
أَتَى	1	7.268310186119307	5.197586143423371	Perf	3.125
أَثَّر	0	5.710165568072757	4.364432961419592	Imp	4
أَثَّر	1	7.738313815365043	6.067954574269981	Perf	3.4
أَخَذ	0	6.051914861794814	4.142657278652195	Imp	4.074074074074074
أَخَذ	1	7.268310186119307	4.120799628278172	Perf	3.875
أَدلَى	0	6.949856455000773	4.867823383723769	Perf	4
أَدلَى	1	9.347751727799142	5.342334251964811	Imp	3
أَرَاد	0	5.236877863625832	4.436133203212833	Imp	4.524590163934426
أَرَاد	1	6.949856455000773	5.186033271977241	Perf	4.363636363636363
أَسفَر	0	6.015547217623939	4.590276961563911	Perf	4.928571428571429
أَسفَر	1	7.40184157874383	5.379254745454605	Imp	4
أَشَاد	0	6.457379969902978	4.945906656051373	Perf	4.166666666666667
أَشَاد	1	8.654604547239197	6.759255270663693	Imp	4
أَشَار	0	3.814362239071623	2.9676655960186524	Perf	4.300395256916996
أَشَار	1	5.143059108408177	3.9134486008273193	Imp	4.044776119402985
أَصدَر	0	5.519110331310048	4.475483370916552	Perf	4.869565217391305
أَصدَر	1	6.30322929007572	5.324586504174802	Imp	4.190476190476191
أَصَاب	0	5.377459814247021	3.205692299755176	Perf	4.264150943396227
أَصَاب	1	7.268310186119307	4.881805771437387	Imp	4
أَضَاف	0	3.585700345018966	2.530544452518381	Perf	4.468553459119497
أَضَاف	1	6.30322929007572	4.491449120148319	Imp	4.285714285714286
أَظهَر	0	6.403312748632702	4.993311832005506	Perf	4.526315789473684
أَظهَر	1	7.40184157874383	4.31317361210877	Imp	4.571428571428571
أَعرَب	0	5.173364457903506	4.182424723359709	Perf	4.476923076923077
أَعرَب	1	7.738313815365043	5.91443314938412	Imp	4
أَعلَن	0	3.630724026392921	2.846762977722443	Perf	4.496710526315789
أَعلَن	1	5.455931429688516	4.344327619828211	Imp	4.040816326530612
أَعَاد	0	6.403312748632702	4.972523314222673	Imp	4.105263157894737
أَعَاد	1	7.268310186119307	4.176207334123152	Perf	4.625
أَفَاد	0	5.043686634594973	3.7293626620616434	Perf	4.22972972972973
أَفَاد	1	6.514538383742927	5.327275318281082	Imp	3.8823529411764706
أَقَام	0	5.497604126089085	3.6500479022524837	Imp	4.042553191489362
أَقَام	1	5.946554346136987	3.9917178011768417	Perf	4.733333333333333
أَكَّد	0	3.4342487221608726	2.787639668271068	Perf	3.137837837837838
أَكَّد	1	5.128244022623036	4.216908438591524	Imp	4
أَلقَى	0	5.634179661094835	4.4270976586213555	Perf	4.121951219512195
أَلقَى	1	6.8628450780111425	4.5736984781965395	Imp	4.166666666666667
أَمكَن	0	4.223787748395884	2.366631507435979	Imp	4
أَمكَن	1	8.654604547239197	4.528361441655291	Perf	4
أَمَل	0	6.089655189777661	4.861810560181246	Imp	4.3076923076923075
أَنتَج	0	6.352019454245152	5.05808969967686	Imp	4.2
أَنتَج	1	8.249139439131033	4.467681667937121	Perf	5.333333333333333
أَورَد	0	7.045166634805097	5.240611340048916	Perf	4.9
أَورَد	1	8.654604547239197	6.759255270663693	Imp	4
أَوضَح	0	4.044446819740068	2.9465974771302044	Perf	4.0497512437810945
أَوضَح	1	7.268310186119307	5.0315647896998845	Imp	4
أَوقَع	0	7.045166634805097	5.579115400348613	Perf	4.6
أَوقَع	1	9.347751727799142	7.452402451223638	Imp	4
أَوقَف	0	6.7086943981838845	4.217095819203837	Perf	5.071428571428571
أَوقَف	1	8.249139439131033	5.62995946526119	Imp	4
أَولَى	0	7.150527150462923	4.621426867361201	Imp	4
أَولَى	1	8.654604547239197	5.747726859529094	Perf	4
اِتَّجَه	0	6.457379969902978	4.750228433866035	Imp	4.222222222222222
اِتَّجَه	1	7.9614573666792525	4.493877239157134	Perf	4.75
اِتَّفَق	0	6.015547217623939	4.614618062513051	Perf	4.571428571428571
اِتَّفَق	1	7.150527150462923	5.776779766701609	Imp	4.222222222222222
اِتَّهَم	0	6.089655189777661	2.7939965374895266	Perf	4.153846153846154
اِتَّهَم	1	6.8628450780111425	4.328652561810791	Imp	4.333333333333333
اِجتَمَع	0	6.575163005559362	4.124341308263535	Imp	5.5
اِجتَمَع	1	7.555992258571088	4.511831771886807	Perf	6
اِحتَاج	0	5.415926095074817	4.269022153044289	Imp	5.03921568627451
اِحتَاج	1	8.654604547239197	7.053921400795643	Perf	5.5
اِختَلَف	0	6.639701526696933	5.031305529441662	Imp	5
اِختَلَف	1	7.738313815365043	5.066276603989995	Perf	5.6
اِرتَبَط	0	7.150527150462923	5.543593612780792	Imp	5.222222222222222
اِرتَبَط	1	9.347751727799142	4.634728988229636	Perf	6
اِرتَفَع	0	5.396508009217715	3.112419465662963	Perf	5.6923076923076925
اِرتَفَع	1	6.089655189777661	3.8749577443880523	Imp	5
اِزدَاد	0	6.575163005559362	4.6605759532329065	Imp	5
اِزدَاد	1	7.268310186119307	4.037775378824861	Perf	5.375
اِستَبعَد	0	6.128875902930942	3.7971632323608713	Imp	6.72
اِستَبعَد	1	6.949856455000773	4.910810537177084	Perf	6.363636363636363
اِستَخدَم	0	5.821391203182982	4.47582284697808	Imp	6.382352941176471
اِستَخدَم	1	6.949856455000773	4.4946777476601145	Perf	6.818181818181818
اِستَضَاف	0	6.639701526696933	4.809178456729721	Imp	6
اِستَضَاف	1	7.555992258571088	4.808765510903274	Perf	7
اِستَطَاع	0	5.236877863625832	3.318092588854406	Imp	6.032786885245901
اِستَطَاع	1	6.7086943981838845	4.085096159048783	Perf	6.642857142857143
اِستَعَدّ	0	6.639701526696933	5.598466357447747	Imp	5.133333333333334
اِستَعَدّ	1	8.249139439131033	6.006052036553513	Perf	5
اِستَفَاد	0	6.949856455000773	5.298150212854572	Imp	6.545454545454546
اِستَفَاد	1	8.654604547239197	5.849432733643447	Perf	6.5
اِستَقَرّ	0	7.045166634805097	5.219684659613	Perf	5.5
اِستَقَرّ	1	8.654604547239197	4.897839799950911	Imp	5
اِستَورَد	0	6.575163005559362	5.454943283071153	Imp	6
اِستَورَد	1	9.347751727799142	6.655440350367647	Perf	7
اِعتَرَف	0	5.882015824999416	4.477926299701705	Perf	5.1875
اِعتَرَف	1	7.268310186119307	5.223320885613135	Imp	5
اِعتَزَم	0	6.128875902930942	4.998963806675508	Imp	6.2
اِعتَزَم	1	9.347751727799142	7.452402451223638	Perf	6
اِعتَقَد	0	5.764232789343033	4.563354007207975	Imp	5
اِعتَقَد	1	7.555992258571088	6.130855716491836	Perf	6
اِعتَقَل	0	6.403312748632702	4.772494919286619	Perf	5.7368421052631575
اِعتَقَل	1	7.40184157874383	5.299130883117173	Imp	5.714285714285714
اِعتَمَد	0	6.089655189777661	4.922133311656194	Imp	5.076923076923077
اِعتَمَد	1	7.555992258571088	5.969930595284076	Perf	5.166666666666667
اِلتَقَى	0	5.634179661094835	4.174088836806631	Imp	5.146341463414634
اِلتَقَى	1	6.212257511869994	4.509456169805747	Perf	5.043478260869565
اِمتَدّ	0	6.8628450780111425	3.748881108805685	Imp	4
اِمتَدّ	1	7.9614573666792525	3.835617238612766	Perf	4.25
اِمتَلَك	0	6.949856455000773	5.66530300825793	Imp	5
اِمتَلَك	1	9.347751727799142	5.303304908059076	Perf	7
اِنتَظَر	0	6.256709274440827	4.713634980199784	Imp	5.363636363636363
اِنتَظَر	1	8.249139439131033	5.365076739352657	Perf	5.333333333333333
اِنتَقَد	0	6.352019454245152	4.608105015253438	Perf	5.05
اِنتَقَد	1	7.268310186119307	5.147480835646955	Imp	6.5
اِنتَقَل	0	6.8628450780111425	2.8820305803775015	Perf	5.25
اِنتَقَل	1	7.9614573666792525	5.202160730374759	Imp	5
اِنخَفَض	0	6.256709274440827	3.3578708926824814	Perf	5.318181818181818
اِنخَفَض	1	7.738313815365043	3.965790602358106	Imp	5
اِنطَلَق	0	6.352019454245152	4.065228261524878	Imp	5.55
اِنطَلَق	1	7.555992258571088	5.553216369810514	Perf	6.166666666666667
بَات	0	6.169697897451197	4.741213046689016	Perf	3.2916666666666665
بَات	1	9.347751727799142	4.624972813284271	Imp	4
بَاع	0	6.639701526696933	3.5093152657858195	Imp	4
بَاع	1	8.249139439131033	5.15243922955021	Perf	3.6666666666666665
بَحَث	0	5.220617342754052	4.356499251578499	Imp	4.483870967741935
بَحَث	1	6.30322929007572	4.2949704324952975	Perf	3.1904761904761907
بَدَأ	0	4.4957214638795255	3.611847853595654	Perf	3.6796875
بَدَأ	1	5.128244022623036	3.7398593238149846	Imp	4
بَدَا	0	5.684190081669496	3.5181950828304127	Imp	4
بَدَا	1	6.128875902930942	4.079264760642437	Perf	3
بَعَث	0	6.639701526696933	3.490441344048713	Perf	3.4
بَعَث	1	8.654604547239197	5.732812095926107	Imp	5
بَلَغ	0	4.3919246701978825	3.4388892472222223	Perf	3.8028169014084505
بَلَغ	1	4.815152234645887	3.891483788970588	Imp	4
تَابَع	0	5.519110331310048	4.074596745553618	Perf	4
تَابَع	1	7.9614573666792525	5.691013488785937	Imp	5
تَبِع	0	7.40184157874383	5.88637088094365	Imp	4
تَبِع	1	7.738313815365043	6.279864642396175	Perf	3
تَجَاوَز	0	5.415926095074817	3.759909649592777	Imp	6
تَجَاوَز	1	6.403312748632702	5.163600522294992	Perf	6.315789473684211
تَحَرَّك	0	6.7086943981838845	3.8825887530737595	Imp	5
تَحَرَّك	1	8.249139439131033	4.493442896153737	Perf	4.666666666666667
تَحَمَّل	0	6.30322929007572	5.2868049859728306	Imp	5.238095238095238
تَحَمَّل	1	8.654604547239197	5.012631304731024	Perf	4
تَحَوَّل	0	6.169697897451197	4.964849299962737	Perf	4.75
تَحَوَّل	1	7.150527150462923	4.304360519498008	Imp	5
تَرَاوَح	0	5.882015824999416	3.928809324142188	Imp	6
تَرَاوَح	1	9.347751727799142	5.700443573390687	Perf	6
تَضَمَّن	0	5.204617001407611	4.182612335660773	Imp	5
تَضَمَّن	1	6.30322929007572	4.9398909543238	Perf	4.857142857142857
تَعَامَل	0	6.7086943981838845	4.852722152809789	Imp	6
تَعَامَل	1	9.347751727799142	6.655440350367647	Perf	6
تَعَدَّى	0	7.150527150462923	4.066692931294671	Imp	4.888888888888889
تَعَدَّى	1	8.654604547239197	7.293646651394761	Perf	4.5
تَعَهَّد	0	6.782802370337606	5.492304635960892	Perf	4.384615384615385
تَعَهَّد	1	8.249139439131033	6.353790162555529	Imp	5
تَقَدَّم	0	5.710165568072757	4.316018984514588	Perf	4.2105263157894735
تَقَدَّم	1	7.268310186119307	4.272553204612043	Imp	5
تَلَا	0	7.045166634805097	5.8617182585782315	Perf	3
تَلَا	1	9.347751727799142	3.2188758248682006	Imp	4
تَلَقَّى	0	5.519110331310048	4.177897522179381	Perf	4.1521739130434785
تَلَقَّى	1	7.150527150462923	4.010133360704472	Imp	4.888888888888889
تَمَتَّع	0	5.6100821095157745	4.590755604817119	Imp	5.380952380952381
تَمَتَّع	1	9.347751727799142	6.093569770045136	Perf	4
تَوَجَّه	0	6.128875902930942	3.177642949781785	Imp	5
تَوَجَّه	1	6.949856455000773	3.710309332851269	Perf	4.636363636363637
تَوَقَّع	0	5.188868644439471	3.3752280113205946	Imp	5
تَوَقَّع	1	5.764232789343033	4.595839258671729	Perf	4.277777777777778
تَوَلَّى	0	5.634179661094835	4.581764136334734	Imp	5.414634146341464
تَوَلَّى	1	6.782802370337606	5.206847389816767	Perf	4
جَدَّد	0	6.403312748632702	4.904846745269092	Perf	3.263157894736842
جَدَّد	1	7.555992258571088	5.79805813452166	Imp	4
حَثّ	0	6.575163005559362	3.7925703667168196	Perf	2.125
حَثّ	1	7.738313815365043	4.7198232622897685	Imp	3
حَدَّد	0	5.684190081669496	4.299531055310739	Imp	4
حَدَّد	1	6.256709274440827	4.884444907895153	Perf	3.090909090909091
حَذَّر	0	5.435728722370997	4.434171584762723	Perf	3.22
حَذَّر	1	6.782802370337606	5.4632354632518325	Imp	4.153846153846154
حَصَل	0	5.253407165577042	4.104745924742608	Perf	3.9
حَصَل	1	5.913764523313997	4.509266845245855	Imp	4.129032258064516
حَضَر	0	6.352019454245152	4.795765399373053	Perf	3.15
حَضَر	1	8.249139439131033	4.264912234396149	Imp	4
حَظِي	0	6.403312748632702	5.098761753756655	Imp	4.842105263157895
حَظِي	1	7.738313815365043	6.3252118263665595	Perf	3.8
حَمَل	0	5.764232789343033	4.636005485946098	Imp	4.111111111111111
حَمَل	1	6.8628450780111425	5.432512474471065	Perf	3.75
خَسِر	0	6.575163005559362	4.292529739057392	Perf	3.5625
خَسِر	1	8.249139439131033	5.0548671233622064	Imp	4.666666666666667
خَشِي	0	6.352019454245152	5.03466826139182	Imp	4.1
خَشِي	1	8.249139439131033	6.910507085667302	Perf	3.3333333333333335
خَصّ	0	6.949856455000773	4.752209209481801	Imp	3
خَصّ	1	8.654604547239197	5.962293169807702	Perf	2
خَضَع	0	6.782802370337606	4.698771854604278	Imp	4
خَضَع	1	7.555992258571088	5.4074271367055475	Perf	3.8333333333333335
دَام	0	6.949856455000773	5.071950639352066	Perf	3.727272727272727
دَام	1	8.654604547239197	5.598394523403426	Imp	4
دَرَس	0	6.457379969902978	4.872574225474647	Imp	4.666666666666667
دَرَس	1	7.9614573666792525	5.496213709578393	Perf	3.5
دَعَا	0	5.003946305945459	3.443930729278608	Perf	3.0259740259740258
دَعَا	1	5.358767681234869	4.196682600865041	Imp	4.074074074074074
دَعَم	0	6.403312748632702	5.362743905026022	Imp	4.315789473684211
دَعَم	1	9.347751727799142	7.452402451223638	Perf	4
دَمَّر	0	7.150527150462923	5.248086587665222	Perf	3.888888888888889
دَمَّر	1	8.654604547239197	4.953739786902832	Imp	4
