LEMMA	DEFAULT	FREQUENCY	IC	ASPECT	CHAR_NUMBER
agindu	0	6.600859496697331	3.3318370446309418	Perf	6
agindu	1	7.612460408375811	5.754590168973856	Prosp	8
aitortu	0	6.226166047255921	3.684414952002029	Perf	7
aitortu	1	7.900142480827593	4.661321016338893	Imp	9
aldatu	0	6.165541425439486	4.26460436812692	Perf	6
aldatu	1	6.801530192159483	4.093959417874619	Imp	8
amaitu	0	5.954232331772279	4.66778830220103	Perf	6
amaitu	1	6.919313227815866	4.754410400285345	Prosp	8.375
argitaratu	0	6.801530192159483	5.09717768295954	Perf	10
argitaratu	1	8.998754769495703	6.12029741895095	Imp	12
aritu	0	4.855620043104169	3.404770131829971	Perf	5
aritu	1	6.165541425439486	3.728454476962017	Imp	7
asmatu	0	6.513848119707702	4.576217711383513	Perf	6
asmatu	1	7.900142480827593	5.563145834928072	Imp	8
atera	0	5.047511050914275	3.826663927633002	Perf	5
atera	1	5.74065823147422	4.332144379759535	Imp	8.653846153846153
aurkeztu	0	5.443406708006289	4.03718231615798	Perf	8
aurkeztu	1	5.779878944627501	3.9928326804375085	Imp	9.88
azaldu	0	4.592035522231448	3.4720655382603054	Perf	6
azaldu	1	5.779878944627501	3.8392229772389386	Prosp	8
azpimarratu	0	5.47239424487954	3.8530497868631377	Perf	11
azpimarratu	1	7.206995300267647	3.6516748316897663	Prosp	13
baieztatu	0	6.600859496697331	3.8524263043055713	Perf	9
baieztatu	1	8.998754769495703	4.02535169073515	Imp	11
bete	0	6.226166047255921	3.913253182322269	Perf	4
bete	1	6.226166047255921	4.322507785941075	Prosp	7.375
bidali	0	6.801530192159483	3.3907366426466834	Perf	6
bidali	1	7.052844620440388	3.989028787241562	Imp	8.428571428571429
bildu	0	5.47239424487954	4.354512824337869	Perf	5
bildu	1	5.907712316137386	4.3322763744407355	Imp	7
bota	0	6.165541425439486	4.223067172559629	Perf	4
bota	1	7.389316857061601	5.464602122018286	Imp	6.8
bukatu	0	6.696169676501656	4.866648524214113	Perf	6
bukatu	1	7.389316857061601	5.558637802840414	Imp	8
egin	0	2.9728887956703876	2.306018150882477	Perf	4
egin	1	3.5098170433390155	2.9223502932666556	Imp	6
egon	0	5.23755465380214	3.990895910618251	Perf	4
egon	1	2.3279884486498275	1.750148046442445	Prog	6.154626108998732
ekarri	0	6.226166047255921	3.9107125729646794	Perf	6
ekarri	1	6.0030224959417104	3.5724977543516148	Prog	8.2
ekin	0	5.597557387833547	2.3699949830348492	Perf	4
ekin	1	6.290704568393492	1.745517472756356	Prosp	6
eman	0	4.028941469919701	2.5580050250372985	Perf	4
eman	1	4.476966192446661	3.042027403124378	Imp	6
entrenatu	0	6.600859496697331	3.931753384964251	Perf	9
entrenatu	1	6.696169676501656	3.4038105857364203	Prosp	11
erabaki	0	5.285182702791394	2.8716953146020745	Perf	7
erabaki	1	5.954232331772279	3.9045026670195764	Prosp	9.857142857142858
erabili	0	5.21456513557744	3.820590100171486	Imp	10
erabili	1	5.631458939509228	4.283899006174139	Perf	8.344827586206897
eragin	0	5.863260553566552	3.8614156647727955	Perf	6
eragin	1	6.359697439880443	3.9304227840471606	Imp	8
erakutsi	0	5.387836856851477	3.798547340197616	Perf	8
erakutsi	1	5.907712316137386	4.052017549444185	Imp	9.090909090909092
eraman	0	5.5647675650105555	3.6168652604853153	Perf	6
eraman	1	5.02846285594358	3.730313493981399	Prog	8.69811320754717
esan	0	3.8396994702811726	2.093447070272023	Perf	4
esan	1	4.078773843667577	2.451271999609691	Imp	5.671532846715328
eskaini	0	5.954232331772279	3.7507094851151956	Perf	7
eskaini	1	6.513848119707702	4.665845455057139	Imp	9.75
eskatu	0	4.668021429209371	2.4756865241107286	Perf	6
eskatu	1	5.820700939147756	3.893041443082339	Imp	8
eskuratu	0	6.226166047255921	3.9903166403873236	Perf	8
eskuratu	1	7.612460408375811	5.099042059691653	Prosp	10.25
etorri	0	5.702917903491373	4.352543090806036	Perf	6
etorri	1	5.02846285594358	3.9173741384536704	Prog	7.245283018867925
ezagutu	0	6.165541425439486	4.182688551852595	Imp	9
ezagutu	1	6.600859496697331	3.6640085069490795	Prosp	7.7272727272727275
gainditu	0	6.600859496697331	4.784227979357203	Perf	8
gainditu	1	8.998754769495703	3.4657359027997265	Imp	10
galdu	0	5.170113373006607	3.8255848385331497	Perf	5
galdu	1	6.4338054120341654	4.539732033516742	Imp	7
gelditu	0	5.74065823147422	4.146422809904674	Perf	7
gelditu	1	6.513848119707702	4.771668449624744	Imp	9
geratu	0	4.973403078760553	3.673862311486882	Perf	6
geratu	1	5.954232331772279	4.826444228717768	Imp	8
gertatu	0	5.106934471385076	3.7092466891352958	Perf	7
gertatu	1	5.3351931233660554	3.7902430723311	Prosp	9
gustatu	0	6.359697439880443	2.8992435145303075	Imp	9
gustatu	1	6.919313227815866	3.4362685331906375	Prosp	8.75
hartu	0	4.62930691702868	3.172164025334622	Perf	5
hartu	1	4.779247064319595	3.627055515882301	Prosp	7
hasi	0	4.307406887266558	3.2652785209016573	Perf	4
hasi	1	5.127553758587811	3.8384428531781545	Imp	6
heldu	0	5.631458939509228	3.8270680762999154	Perf	5
heldu	1	6.600859496697331	4.357018798155621	Prosp	7
hil	0	4.383634252654442	3.5603541791551354	Perf	3
hil	1	7.052844620440388	5.18864904201427	Imp	7
ibili	0	5.74065823147422	4.12505560857126	Perf	5
ibili	1	4.9557035016611515	3.97607111025371	Prog	7.56140350877193
ikasi	0	6.4338054120341654	4.627683450746174	Perf	5
ikasi	1	7.900142480827593	5.277003933178885	Imp	7
irabazi	0	4.41378729082513	3.0246203395415154	Perf	7
