LEMMA	DEFAULT	FREQUENCY	IC	ASPECT	CHAR_NUMBER
благодаря	0	4.7664383335842135	0.8958797346140275	Imp	9
благодаря	1	3.667826044916104	1.0114042647073518	Perf	9.166666666666666
дойда	0	1.1969056371028435	0.6495329280330898	Perf	5.873239436619718
дойда	1	5.459585514144159	-0	Imp	3
започна	0	1.1691260729957678	0.6707631543365079	Perf	7.876712328767123
коментирам	0	1.9042374526547454	0.892719309496855	Imp	9.942857142857143
коментирам	1	3.26236093680794	1.4685384962587347	Perf	9.444444444444445
прогнозирам	0	2.9746788643561586	1.5496365577760478	Imp	10.416666666666666
прогнозирам	1	4.073291153024268	1.856637268099326	Perf	10.75
чуя	0	2.415063076420736	1.1386472983349631	Perf	3.0476190476190474
чуя	1	5.459585514144159	2.3978952727983707	Imp	4
