LEMMA	DEFAULT	FREQUENCY	IC	ASPECT	CHAR_NUMBER
έχω	0	2.473084910822833	1.4895359886828696	Imp	4.423076923076923
έχω	1	5.91350300563827	4.1293957137548585	Perf	4.4
ανακοινώνω	0	4.632569160176206	2.8915886487287907	Perf	10.833333333333334
ανακοινώνω	1	7.52294091807237	4.1588830833596715	Imp	12
αποτελώ	0	3.2462747990563154	1.9409344581711414	Imp	8.166666666666666
αποτελώ	1	4.57850193890593	2.9453132953852603	Perf	9.947368421052632
αποφασίζω	0	4.814890716970161	2.927691339117957	Perf	10.333333333333334
αποφασίζω	1	6.829793737512425	3.0376730155443417	Imp	10
αρχίζω	0	4.632569160176206	2.6980522412112466	Perf	6.888888888888889
αρχίζω	1	6.829793737512425	3.8571155724245427	Imp	7
αφήνω	0	5.125045645274	2.672929115203397	Perf	7.090909090909091
αφήνω	1	5.731181448844316	2.0759114279980753	Imp	7.166666666666667
βελτιώνω	0	4.52720864451838	3.2594096186367656	Perf	9.65
βελτιώνω	1	6.829793737512425	4.573167521000135	Imp	10
βλέπω	0	4.8838835884571115	3.029991698986471	Perf	4.142857142857143
βλέπω	1	6.1366465569524795	2.3656635751475434	Imp	8
βοηθώ	0	5.03803426828437	2.9289723590764107	Perf	8.666666666666666
βοηθώ	1	6.829793737512425	3.94209996683802	Imp	7
βρίσκω	0	3.288834413475111	1.9731073983354366	Imp	9.217391304347826
βρίσκω	1	4.814890716970161	2.41972654817666	Perf	7.066666666666666
γίνομαι	0	3.462497907525951	2.1397940008070537	Perf	5.362068965517241
γίνομαι	1	4.057205015272644	2.59666153330007	Imp	7.28125
γνωρίζω	0	4.814890716970161	2.876576641868802	Imp	8.533333333333333
γνωρίζω	1	7.52294091807237	3.912023005428146	Perf	8
δίνω	0	3.9394219796162604	1.9701963770108533	Perf	5.305555555555555
δίνω	1	4.431898464714054	2.584364857814437	Imp	5.954545454545454
δηλώνω	0	3.6109179126442243	1.1302530026051998	Perf	6.64
δηλώνω	1	4.57850193890593	2.3340143265963653	Imp	7.315789473684211
δημιουργώ	0	4.0264333566058905	2.992277905333322	Perf	12.181818181818182
δημιουργώ	1	5.91350300563827	3.9236126258189863	Imp	12.4
διαθέτω	0	4.689727574016154	3.271057857019897	Imp	9.058823529411764
διαθέτω	1	5.91350300563827	2.2204795125039203	Perf	10.8
εκφράζω	0	4.478418480348948	2.906810919227645	Perf	8.333333333333334
εκφράζω	1	6.1366465569524795	3.9052340544890365	Imp	8.75
εξακολουθώ	0	5.03803426828437	2.5892635056406146	Imp	12
εξακολουθώ	1	6.829793737512425	4.152865572437933	Perf	14
εξετάζω	0	4.57850193890593	2.946102325314136	Perf	9.368421052631579
εξετάζω	1	5.731181448844316	3.196315612943785	Imp	9.666666666666666
επαναλαμβάνω	0	5.325716340736151	3.652637219747436	Perf	9.444444444444445
επαναλαμβάνω	1	7.52294091807237	1.791759469228055	Imp	13
επισκέπτομαι	0	4.957991560610834	3.160073220353375	Perf	11.076923076923077
επισκέπτομαι	1	6.424328629404261	4.512328807765752	Imp	12.333333333333334
επιστρέφω	0	5.325716340736151	2.7390250201858795	Perf	10.222222222222221
επιστρέφω	1	7.52294091807237	3.6888794541139363	Imp	13
επιτυγχάνω	0	4.478418480348948	3.079058429213102	Perf	9.476190476190476
επιτυγχάνω	1	7.52294091807237	2.302585092994046	Imp	13
θέτω	0	4.0264333566058905	2.541513777005628	Perf	5.636363636363637
θέτω	1	5.577030769017057	2.72159085961903	Imp	6.428571428571429
θεωρώ	0	3.834061463958434	1.8034757747237216	Imp	7.15
θεωρώ	1	4.957991560610834	3.0444900657943332	Perf	8.076923076923077
ισχύω	0	4.52720864451838	2.752268459213123	Imp	6.25
ισχύω	1	7.52294091807237	2.4849066497880004	Perf	7
κάνω	0	3.8853547583459846	2.505862130501493	Imp	5.973684210526316
κάνω	1	4.57850193890593	2.810371199764092	Perf	5.7894736842105265
καθίσταμαι	0	4.75035219583259	2.0719835198408174	Perf	7.6875
καθίσταμαι	1	6.1366465569524795	1.8727718983837187	Imp	10
καταδικάζω	0	5.125045645274	3.136194762065513	Perf	12
καταδικάζω	1	6.829793737512425	2.7992109794991875	Imp	13.5
καταλήγω	0	5.03803426828437	2.7903467624938756	Perf	8.916666666666666
καταλήγω	1	6.829793737512425	3.414356035820842	Imp	8.5
καταστρέφω	0	5.325716340736151	3.575900235125966	Perf	11.666666666666666
καταστρέφω	1	7.52294091807237	4.969813299576001	Imp	12
λέγω	0	3.6109179126442243	1.9720063606184188	Perf	3.6
λέγω	1	4.814890716970161	2.756647287455125	Imp	6.133333333333334
λειτουργώ	0	4.8838835884571115	2.8003691789331464	Imp	10.857142857142858
λειτουργώ	1	5.91350300563827	2.634337346547084	Perf	11.6
μειώνω	0	5.443499376392534	3.519090035581304	Perf	8.25
μειώνω	1	7.52294091807237	4.976733742420574	Imp	7
μπορώ	0	2.473084910822833	0.6694115022395433	Imp	6.5
μπορώ	1	4.304065093204169	2.0324106210984514	Perf	8
νικώ	0	5.220355825078324	2.4514123082899655	Perf	6.3
νικώ	1	7.52294091807237	4.976733742420574	Imp	4
ξεκινώ	0	4.387446702143221	3.134068420108066	Perf	8.652173913043478
ξεκινώ	1	6.1366465569524795	3.7985061829413005	Imp	7.5
ολοκληρώνω	0	4.957991560610834	3.1936356067632614	Perf	11.384615384615385
ολοκληρώνω	1	6.829793737512425	4.567808412890123	Imp	12
παρέχω	0	4.957991560610834	2.6364782154303112	Imp	7.923076923076923
παρέχω	1	6.424328629404261	2.0228085294147036	Perf	7.666666666666667
παρουσιάζω	0	4.52720864451838	3.1420552954643868	Perf	11.45
παρουσιάζω	1	5.731181448844316	3.5016759185549096	Imp	12.166666666666666
περιλαμβάνω	0	4.632569160176206	3.270918512782785	Imp	12.777777777777779
περιλαμβάνω	1	6.1366465569524795	3.8433414151052547	Perf	10.25
πιστεύω	0	4.190736407897167	1.5191908417135565	Imp	7.428571428571429
πιστεύω	1	7.52294091807237	3.6888794541139363	Perf	9
