LEMMA	DEFAULT	FREQUENCY	IC	ASPECT	CHAR_NUMBER
accipio	0	4.120366667585301	2.8752271077204723	Perf	8.036363636363637
accipio	1	6.181789703762458	1.8160307601988261	Imp	9.571428571428571
acquiro	0	6.741405491697881	4.8165664274003	Perf	10
acquiro	1	8.127699852817772	1.0986122886681098	Imp	10
addo	0	5.642793203029771	3.7654536464388215	Perf	6.916666666666667
addo	1	7.434552672257826	4.219507705176107	Imp	7.5
ago	0	5.488642523202513	2.8503106314041724	Imp	6.857142857142857
ago	1	8.127699852817772	5.605802066295998	Perf	8
apprehendo	0	5.825114759823726	3.7601106014140044	Perf	11
apprehendo	1	7.434552672257826	2.9907071056272403	Imp	14
assumo	0	6.335940383589716	3.212356995284883	Perf	11
assumo	1	7.434552672257826	3.871201010907891	Imp	9
attribuo	0	5.13196757926378	3.0521515833743567	Perf	8.35
attribuo	1	7.434552672257826	0.8958797346140275	Imp	12.5
causo	0	4.390030234534404	3.134299098545751	Perf	7.809523809523809
causo	1	6.741405491697881	2.1138294469245373	Imp	9
cognosco	0	4.6937126483326255	3.1280549669719764	Perf	7.483870967741935
cognosco	1	4.631192291351292	2.5635760167689523	Imp	11.242424242424242
compleo	0	6.181789703762458	4.306606634543169	Perf	8.571428571428571
compleo	1	7.434552672257826	2.04717228111105	Imp	11
concipio	0	6.181789703762458	4.400836231697826	Perf	8.285714285714286
concipio	1	8.127699852817772	2.0794415416798357	Imp	10
conjungo	0	5.35511113057799	3.4230164508746075	Perf	9.4375
conjungo	1	7.029087564149662	3.355735007585398	Imp	11
considero	0	4.7954953426425675	2.7157950097785672	Perf	12.357142857142858
considero	1	6.741405491697881	3.7119102763328877	Imp	13.25
constituo	0	5.237328094921607	3.263143850883478	Perf	10.666666666666666
constituo	1	7.434552672257826	1.666102255087602	Imp	13
corrumpo	0	5.488642523202513	2.591963136476798	Perf	8
corrumpo	1	6.741405491697881	3.79993068821996	Imp	12
creo	0	3.938045110791346	2.5781281929239293	Perf	6.378787878787879
debeo	0	4.544180914361662	2.25078127086349	Perf	6.666666666666667
debeo	1	6.181789703762458	1.4313813295465054	Imp	7.571428571428571
demonstro	0	6.181789703762458	3.48806321373758	Perf	11.571428571428571
demonstro	1	7.434552672257826	2.5649493574615367	Imp	13
desidero	0	6.518261940383671	3.893106919400867	Perf	10.8
desidero	1	8.127699852817772	-0	Imp	11
destruo	0	5.825114759823726	2.8624543403504874	Perf	9.2
destruo	1	8.127699852817772	4.564348191467836	Imp	10
determino	0	4.6937126483326255	3.0272532373879217	Perf	11.483870967741936
determino	1	7.434552672257826	3.9316333620047867	Imp	13
dico	0	2.6387621266610854	1.866962876720248	Perf	5.925619834710743
dico	1	4.0846485849832215	1.9687693588717625	Imp	7.859649122807017
diminuo	0	6.181789703762458	3.8998787025286714	Perf	7.571428571428571
diminuo	1	8.127699852817772	2.5649493574615367	Imp	12
dispono	0	4.992205636888622	3.151385846209094	Perf	9.304347826086957
dispono	1	8.127699852817772	4.442651256490317	Imp	10
do	0	4.390030234534404	2.3505090650743723	Perf	4.880952380952381
do	1	5.930475275481553	1.5545201789699319	Imp	5.333333333333333
exinanio	0	6.0482583111379356	0.9729550745276565	Perf	10
exinanio	1	8.127699852817772	2.6390573296152584	Imp	10
exprimo	0	7.029087564149662	5.099199312282978	Perf	8.666666666666666
exprimo	1	8.127699852817772	2.0794415416798357	Imp	12
facio	0	3.260165402362189	2.2046922027546905	Perf	5.8
facio	1	4.390030234534404	2.437673682467085	Imp	6.619047619047619
formo	0	5.419649651715561	3.304601294315727	Perf	8.333333333333334
formo	1	6.518261940383671	3.673690481457169	Imp	9.6
genero	0	5.294486508761556	4.031414766702376	Perf	8.764705882352942
genero	1	6.741405491697881	2.872976524436538	Imp	10
impono	0	5.930475275481553	3.1835479278174095	Perf	9.11111111111111
impono	1	8.127699852817772	1.791759469228055	Imp	10
imprimo	0	5.729804580019401	3.0796159763141095	Perf	8.272727272727273
imprimo	1	7.029087564149662	1.3040076684760484	Imp	12
incipio	0	5.237328094921607	2.9317874004013924	Perf	8.722222222222221
incipio	1	7.029087564149662	3.3810316099603344	Imp	9
induco	0	5.294486508761556	3.4101924229613236	Perf	7.235294117647059
induco	1	6.518261940383671	1.7713036994039715	Imp	10.4
instituo	0	4.760404022831298	2.2634301903242147	Perf	9.517241379310345
instituo	1	7.434552672257826	2.2213256282451583	Imp	13
intelligo	0	3.6503630383395653	2.3107682916707657	Perf	10.363636363636363
intelligo	1	4.949646022469826	2.8411723434550815	Imp	13
intendo	0	5.036657399459456	3.4378338365587364	Perf	7.954545454545454
intendo	1	6.181789703762458	2.8654340359692276	Imp	10.285714285714286
moveo	0	3.908192147641665	2.838435745385293	Perf	4.735294117647059
moveo	1	5.642793203029771	3.278607758125549	Imp	8.333333333333334
multiplico	0	6.181789703762458	3.5284684696922994	Perf	12.714285714285714
multiplico	1	8.127699852817772	2.5649493574615367	Imp	16
operor	0	7.029087564149662	3.0721737436837544	Perf	8
operor	1	8.127699852817772	1.6094379124341003	Imp	10
oportet	0	4.438820398703835	1.071224004920245	Imp	9
oportet	1	5.036657399459456	1.4102290501610382	Perf	8.136363636363637
ordino	0	4.438820398703835	3.0540583679832296	Perf	9.675
ordino	1	8.127699852817772	1.791759469228055	Imp	10
ostendo	0	1.9986496427572265	0.7991433492230383	Perf	7.969498910675381
ostendo	1	7.434552672257826	2.495216293389368	Imp	11
patior	0	8.127699852817772	5.605802066295998	Perf	6
patior	1	8.127699852817772	1.6094379124341003	Imp	11
pecco	0	6.741405491697881	2.382707099038285	Perf	9.5
pecco	1	8.127699852817772	3.8501476017100584	Imp	8
perficio	0	5.825114759823726	4.048748839179901	Perf	9.7
perficio	1	8.127699852817772	1.791759469228055	Imp	12
pervenio	0	5.729804580019401	2.9710262359504114	Perf	10.181818181818182
pervenio	1	7.434552672257826	4.059848126478625	Imp	10.5
pono	0	3.260165402362189	1.9973890029545842	Perf	6.723076923076923
pono	1	4.235879554707145	2.4149206614951804	Imp	7.714285714285714
possum	0	3.4003120341054314	0.8961090526616703	Imp	6.469026548672566
possum	1	5.237328094921607	2.1024815431723862	Perf	6.833333333333333
praecedo	0	5.825114759823726	3.2197855025227	Perf	12.6
praecedo	1	7.434552672257826	4.04718922248648	Imp	11
praedico	0	6.181789703762458	3.780479232252549	Perf	9.285714285714286
praedico	1	7.434552672257826	2.4414009612931853	Imp	13
probo	0	3.673352556564264	2.3543741502298685	Perf	8.046511627906977
probo	1	7.434552672257826	3.9316333620047867	Imp	9
produco	0	4.390030234534404	1.757635953895738	Perf	8.738095238095237
produco	1	6.518261940383671	2.8585972404097424	Imp	11
propono	0	7.029087564149662	4.796552654313314	Perf	11
propono	1	5.930475275481553	2.8918008151567998	Imp	10
proportiono	0	4.299058456328677	2.594175228484164	Perf	13.76086956521739
proportiono	1	8.127699852817772	2.3025850929940455	Imp	16
recipio	0	4.60133932820161	3.001848444906184	Perf	7.264705882352941
recipio	1	6.181789703762458	3.049202299359631	Imp	10.142857142857142
removeo	0	4.60133932820161	3.0141929243251004	Perf	6.794117647058823
removeo	1	7.434552672257826	2.9303931117329327	Imp	10
scio	0	5.562750495356235	3.8113448644807173	Perf	6.846153846153846
scio	1	6.335940383589716	2.0998838693283326	Imp	7.333333333333333
separo	0	3.837240411669381	2.5668245555791236	Perf	8.821917808219178
separo	1	8.127699852817772	-0	Imp	11
sequor	0	3.938045110791346	1.3196064727771855	Imp	10.075757575757576
sequor	1	7.029087564149662	1.858649701048772	Perf	6
sum	0	2.809579858973555	1.1715470547186906	Imp	4.946078431372549
sum	1	3.2756695888981544	1.7882282568714998	Perf	5.140625
sumo	0	5.729804580019401	3.7407372528954372	Perf	7.090909090909091
sumo	1	7.029087564149662	3.344038967822206	Imp	10
suppono	0	5.642793203029771	2.949409628294443	Perf	9.583333333333334
suppono	1	7.029087564149662	4.996216791205937	Imp	11.333333333333334
termino	0	5.642793203029771	3.8336575668627546	Perf	9.583333333333334
termino	1	7.434552672257826	1.9250738008550292	Imp	11
trado	0	5.562750495356235	2.9314567084914027	Perf	8.23076923076923
trado	1	8.127699852817772	2.5649493574615367	Imp	8
unio	0	3.938045110791346	2.45106743893051	Perf	5.424242424242424
unio	1	5.642793203029771	2.6593233778438505	Imp	8.416666666666666
video	0	4.661963950018045	3.14541458473678	Perf	4.875
video	1	5.419649651715561	2.869189223874686	Imp	8.066666666666666
volo	0	4.299058456328677	2.8071507330173593	Perf	6.739130434782608
volo	1	6.181789703762458	2.575643297493181	Imp	6.142857142857143
