LEMMA	DEFAULT	FREQUENCY	IC	ASPECT	CHAR_NUMBER
accipio1	0	3.3366588605245844	2.0076620877393654	Perf	7.375
accipio1	1	5.41610040220442	1.6094379124341005	Imp	10
dico2	0	1.8325814637483102	0.9974736996189625	Perf	5.638888888888889
dico2	1	2.643511679964639	1.2903915112865936	Imp	7.5625
do	0	2.9311937524164198	0.7651617414545404	Perf	4.833333333333333
do	1	4.722953221644475	2.1383330595080277	Imp	6
do1	0	2.643511679964639	1.2377137919092298	Perf	5.3125
do1	1	3.8066624897703196	1.4544796785140093	Imp	5.4
facio	0	2.70805020110221	1.4753148193439358	Perf	5.933333333333334
facio	1	5.41610040220442	1.6094379124341005	Imp	7
facio1	0	1.8325814637483102	0.8800274791418281	Perf	5.722222222222222
facio1	1	3.4701902531491067	1.0406887017955149	Imp	7.285714285714286
mitto1	0	3.2188758248682006	0.7877863150862324	Perf	5.444444444444445
mitto1	1	4.722953221644475	1.0397207708399179	Imp	10.5
video	0	3.2188758248682006	1.2418490234088033	Perf	5
video	1	4.722953221644475	0.8958797346140275	Imp	9
video1	0	1.8607523407150064	1.1276918234904394	Perf	5.6571428571428575
video1	1	2.8511510447428834	0.6508491861394662	Imp	8.384615384615385
