LEMMA	DEFAULT	FREQUENCY	IC	ASPECT	CHAR_NUMBER
जाणे	0	2.2027647577118348	1.3785714611116404	Perf	4
जाणे	1	3.2525868822105126	1.5281235156435529	Imp	4
दिसणे	0	3.0012724539296065	0.8204566915147671	Imp	4.666666666666667
दिसणे	1	4.505349850705881	1.8317808230648231	Perf	5
म्हणणे	0	1.2472533126843985	0.6968616673271922	Perf	6.980769230769231
म्हणणे	1	4.099884742597716	2.015396482265743	Imp	6
येणे	0	1.484924964561518	0.8650880634500534	Perf	3.048780487804878
येणे	1	2.4904468301636156	1.4743815710290689	Imp	3.2666666666666666
विचारणे	0	3.0012724539296065	2.1985969970125603	Perf	7
विचारणे	1	5.198497031265826	2.5649493574615367	Imp	7
होणे	0	2.308125273369661	1.02585756181134	Perf	4.111111111111111
होणे	1	3.8122026701459353	0.9878109296453568	Imp	3.5
