LEMMA	DEFAULT	FREQUENCY	IC	ASPECT	CHAR_NUMBER
бꙑти	0	1.6237610739656545	0.6109934912353248	Imp	2.1311475409836067
бꙑти	1	2.0865774785452844	1.303159367996036	Perf	4.651041666666667
вести#1	0	4.705015520957807	1.8668972518755873	Perf	4
вести#1	1	7.344072850573066	-0	Imp	7
видѣти	0	3.053613409424675	1.4815051238323105	Perf	5.493150684931507
видѣти	1	5.146848273236847	1.9638855550492953	Imp	6.666666666666667
въпрашати	0	4.208578634643916	1.3643477962481456	Imp	9.826086956521738
въпрашати	1	7.344072850573066	2.0794415416798357	Perf	7
вѣдѣти	0	4.399633871406626	2.0368460918526012	Imp	6.7368421052631575
вѣдѣти	1	5.146848273236847	2.337731542021435	Res	6
вѣровати	0	4.299550412849643	2.415672975109461	Perf	7.428571428571429
вѣровати	1	6.245460561904957	2.5309567626149394	Imp	8.666666666666666
глаголати	0	1.7643430245868439	0.6209174040387824	Perf	4.162264150943396
глаголати	1	2.5649493574615367	1.6888637103500406	Imp	6.084033613445378
дати	0	3.2009381241815333	1.1620547731155006	Perf	4.698412698412699
дати	1	4.399633871406626	0.999300805757562	Res	4.157894736842105
имѣти	0	4.048235984568737	1.4628863914114985	Imp	5.592592592592593
имѣти	1	4.453701092676901	1.726004577047215	Res	3.7777777777777777
ити	0	3.0674067315570106	1.130589456011349	Perf	3.4722222222222223
ити	1	4.166019020225121	1.9155535225734515	Imp	6.166666666666667
молити	0	4.085976312551584	1.1407565091639418	Imp	6.615384615384615
молити	1	4.946177577774695	1.5647295447020042	Perf	5.454545454545454
мощи	0	4.571484128333285	1.9523062985281223	Imp	6.875
мощи	1	5.3981627015177525	1.8470584214322214	Perf	4.142857142857143
отъвѣщати	0	2.9496236959006272	1.325715440855474	Perf	7.851851851851852
отъвѣщати	1	6.6509256700131205	3.0931043119502473	Imp	10.5
оучити	0	5.041487757579021	1.8365435228766387	Imp	6.8
оучити	1	6.6509256700131205	3.796435143922409	Perf	5
разоумѣти	0	4.125197025704865	1.2995382561986	Perf	8.6
разоумѣти	1	6.6509256700131205	1.9944920232821373	Res	9.5
слꙑшати	0	3.976777020586592	2.3738089517904717	Perf	7.482758620689655
слꙑшати	1	5.552313381345011	2.805659809633666	Imp	7.833333333333333
съвѣдѣтельствовати	0	5.146848273236847	3.673192743524073	Perf	16.555555555555557
съвѣдѣтельствовати	1	7.344072850573066	-0	Imp	19
хотѣти	0	4.125197025704865	2.573179024323727	Imp	6.88
хотѣти	1	5.957778489453176	3.958103494093981	Perf	4.75
ꙗсти	0	5.041487757579021	2.362024865355695	Perf	3.3
ꙗсти	1	5.957778489453176	3.4044209536584638	Imp	4.5
