LEMMA	DEFAULT	FREQUENCY	IC	ASPECT	CHAR_NUMBER
автоматизировать	0	9.561490079872078	6.8713220303841105	Perf	15.75
автоматизировать	1	10.947784440991967	7.475339236566737	Imp	15
арестовывать	0	7.392436379502554	6.411393798820442	Perf	9.771428571428572
арестовывать	1	9.338346528557867	7.247244205196006	Imp	11.8
атаковать	0	9.001874291936655	7.288683933318879	Imp	7.571428571428571
атаковать	1	10.947784440991967	6.059123195581797	Perf	8
бежать	0	6.459148071259828	5.305230780488677	Imp	5.887640449438202
бежать	1	10.947784440991967	5.214935757608986	Perf	6
беседовать	0	8.30872711137671	6.744610179297358	Imp	9.071428571428571
беседовать	1	10.947784440991967	8.521981708148035	Perf	10
бомбить	0	8.750559863655749	6.458865044430358	Imp	6.555555555555555
брать	0	5.284823960856022	4.460600629920328	Perf	4.725694444444445
брать	1	5.706037425932325	4.788076500178603	Imp	5.031746031746032
браться	0	7.097636839281909	5.918831069329431	Perf	6.914893617021277
браться	1	8.057412683095803	6.519798152565977	Imp	6.944444444444445
бросать	0	6.977492527439846	5.857104861567011	Perf	6.9245283018867925
бросать	1	7.5137972365068215	5.769222006484987	Imp	7
варить	0	8.750559863655749	6.46696758450135	Imp	6.333333333333333
варить	1	9.561490079872078	6.678440337022667	Perf	7
вводить	0	6.322811627707696	5.572671834708466	Perf	5.911764705882353
вводить	1	6.977492527439846	5.501535564482245	Imp	6.962264150943396
велеть	0	8.114571096935752	4.599252739399675	Imp	5.117647058823529
велеть	1	9.849172152323858	3.5708497858974764	Perf	6
взглядывать	0	7.689687902970485	6.022259638323987	Perf	8.73076923076923
взглядывать	1	10.947784440991967	8.63550941823428	Imp	11
взрывать	0	8.239734239889758	7.0874404558900705	Perf	7.733333333333333
взрывать	1	9.849172152323858	5.103470885601698	Imp	7.666666666666667
видеть	0	4.85647455891427	4.08830980600236	Imp	5.271493212669683
видеть	1	5.471320889060457	4.375029109414826	Perf	6.556485355648536
видеться	0	8.003345461825527	5.450291167229643	Imp	7.631578947368421
видеться	1	9.849172152323858	5.422328170554625	Perf	8.666666666666666
включать	0	6.425995863942927	5.397016038495726	Imp	8.66304347826087
включать	1	7.035761435563821	6.157379969262949	Perf	8.2
влиять	0	6.516967642148654	5.273108596695463	Imp	6.178571428571429
влиять	1	7.310198281265582	5.711911338969044	Perf	8
вмешиваться	0	8.239734239889758	6.860942823775635	Imp	11
вмешиваться	1	9.156024971763912	7.433116121043851	Perf	8.833333333333334
вносить	0	6.870246997086248	5.74010961441368	Perf	6.101694915254237
вносить	1	7.580488611005493	5.947417107078422	Imp	6.655172413793103
внушать	0	8.645199347997922	5.199146094523843	Imp	7.7
внушать	1	10.947784440991967	5.749392985908253	Perf	7
вовлекать	0	7.9520521674379765	6.656967719083331	Perf	7.9
вовлекать	1	8.868342899312132	5.9989681619270145	Imp	10.75
возвращать	0	7.812290225062818	5.9377658001321105	Imp	10.608695652173912
возвращать	1	9.561490079872078	7.100110325512272	Perf	10.5
возвращаться	0	6.699289198942608	5.362794739736959	Imp	12.185714285714285
возвращаться	1	8.645199347997922	6.072959210417077	Perf	12.6
возглавлять	0	6.804649714600435	5.5006191301379275	Imp	11.920634920634921
возглавлять	1	7.6155799308167635	6.038010344361078	Perf	9.107142857142858
возникать	0	5.7773004459538155	4.74185927789968	Imp	9.017045454545455
возникать	1	6.057435312770214	5.066050422727762	Perf	8.285714285714286
возобновлять	0	8.30872711137671	6.983760923297498	Perf	10.714285714285714
возобновлять	1	9.561490079872078	5.00696593098404	Imp	13.5
возрождать	0	8.38283508353043	6.435903094227365	Perf	9
возрождать	1	9.849172152323858	7.942363278110432	Imp	9.666666666666666
вооружать	0	8.175195718752187	6.581773897745681	Perf	10.4375
вооружать	1	10.947784440991967	6.0063531596017325	Imp	9
воспринимать	0	6.459148071259828	4.0280441172486	Imp	12.898876404494382
воспринимать	1	7.451276879525487	5.586442598832844	Perf	9.757575757575758
воспроизводить	0	7.903262003268544	6.233689726270432	Imp	14.333333333333334
воспроизводить	1	9.001874291936655	6.780531608716864	Perf	13.285714285714286
восстанавливать	0	7.055964142881341	5.683656143665556	Perf	12.26530612244898
восстанавливать	1	8.38283508353043	6.601038460096854	Imp	15.153846153846153
востребовать	0	8.057412683095803	6.0494941491068825	Perf	12.38888888888889
востребовать	1	10.947784440991967	6.745236349484363	Imp	10
восходить	0	8.38283508353043	7.117733563516553	Imp	8.76923076923077
восходить	1	8.462877791203967	6.728091881097618	Perf	6
впечатлять	0	9.156024971763912	7.3768539564202955	Imp	10.333333333333334
впечатлять	1	9.849172152323858	8.006422636582597	Perf	9.333333333333334
вручать	0	7.5137972365068215	4.151750486613228	Perf	6.645161290322581
вручать	1	9.001874291936655	5.513956278625456	Imp	7.857142857142857
врываться	0	8.549889168193598	6.49855097427944	Perf	8.909090909090908
врываться	1	10.947784440991967	8.521981708148035	Imp	9
вскакивать	0	8.462877791203967	6.7286303766811555	Perf	7
вскакивать	1	9.338346528557867	6.481628244809231	Imp	10
вспоминать	0	6.342614255003876	5.095283806063268	Perf	8.29
вспоминать	1	6.470447626513761	5.489815204043956	Imp	9.840909090909092
вставать	0	6.836910576818656	5.4628500560506765	Perf	5.868852459016393
вставать	1	7.546587059329813	6.001124448065141	Imp	6.666666666666667
встречать	0	6.922432750256818	5.782865423308037	Perf	8.785714285714286
встречать	1	7.392436379502554	5.7215047195428	Imp	9.2
встречаться	0	6.565757806318086	5.434231996565601	Imp	11.175
встречаться	1	7.015958808267642	5.745848746282282	Perf	10.666666666666666
входить	0	5.829790628575212	4.804532288878031	Imp	6.6706586826347305
входить	1	6.229285569696874	5.136293436995314	Perf	5.1875
выбираться	0	8.003345461825527	6.18921461967945	Perf	8.789473684210526
выбираться	1	9.849172152323858	7.76932863843759	Imp	9.666666666666666
выдавать	0	6.788901357632295	5.425407448914967	Imp	7.15625
выдавать	1	7.392436379502554	5.589281652822309	Perf	6.114285714285714
выдвигать	0	7.186584325298405	6.055581067762462	Perf	8.767441860465116
выдвигать	1	7.856741987633652	6.3917745089233255	Imp	9.318181818181818
выдвигаться	0	9.001874291936655	6.784035376490545	Imp	10.714285714285714
выдвигаться	1	10.947784440991967	8.521981708148035	Perf	11
выживать	0	7.856741987633652	5.936672223308187	Perf	5.7272727272727275
выживать	1	9.338346528557867	6.767572343932623	Imp	7.8
выигрывать	0	7.076583430084077	6.078554401292159	Perf	7.958333333333333
выигрывать	1	7.7697306106440225	6.625744181160461	Imp	10
вынимать	0	8.645199347997922	6.479210206277332	Perf	5.6
вынимать	1	9.849172152323858	7.103628779348029	Imp	8.666666666666666
вынуждать	0	6.758129698965543	2.8574693724397835	Perf	8.636363636363637
вынуждать	1	8.549889168193598	2.262025500656988	Imp	9
