LEMMA	DEFAULT	FREQUENCY	IC	ASPECT	CHAR_NUMBER
dať	0	3.883035468554894	1.3085852619364553	Perf	3.7857142857142856
dať	1	2.3949584131250607	0.6898641446176733	Imp,Perf	3.774193548387097
diať	0	4.219507705176107	1.304071938836382	Imp	4.1
diať	1	6.522092798170153	2.3025850929940455	Perf	7
dovoliť	0	3.8140425970679424	1.216721352443979	Perf	7.333333333333333
dovoliť	1	6.522092798170153	1.791759469228055	Imp	10
hodiť	0	4.037186148382152	1.7857687616628277	Perf	5.25
hodiť	1	5.8289456176102075	1.5890269151739727	Imp	6
jesť	0	4.7303333289420975	2.57687135535458	Imp	4.333333333333333
pochádzať	0	3.883035468554894	1.407913727456202	Imp	9.285714285714286
pomôcť	0	3.2639962601486703	1.539214020118279	Perf	6.615384615384615
pomôcť	1	6.522092798170153	2.4849066497880004	Imp	7
prísť	0	1.9894933050168964	0.8759228111036349	Perf	6.075268817204301
pustiť	0	3.5776538190037117	1.5573489862435377	Perf	6.315789473684211
pustiť	1	6.522092798170153	3.1354942159291497	Imp	7
slúžiť	0	4.037186148382152	2.247403007078901	Imp	6
slúžiť	1	6.522092798170153	3.4965075614664802	Perf	7
stať	0	1.906972281328893	0.243472216684924	Perf	5.0495049504950495
stratiť	0	3.3032169733019514	1.6392224587326172	Perf	7.36
stratiť	1	6.522092798170153	2.0794415416798357	Imp	6
trvať	0	3.5776538190037117	1.5789667360124675	Imp	5.421052631578948
trvať	1	6.522092798170153	-0	Perf	6
trápiť	0	4.037186148382152	1.8242210960640548	Imp	6.75
uvidieť	0	3.3032169733019514	1.3048475396462993	Perf	6.24
uvidieť	1	6.522092798170153	-0	Imp	7
vymyslieť	0	3.9571434407086157	2.2375490138929317	Perf	8.461538461538462
vymyslieť	1	6.522092798170153	3.58351893845611	Imp	9
vytvoriť	0	2.911174885525928	1.3222196387828535	Perf	7.918918918918919
vytvoriť	1	6.522092798170153	-0	Imp	9
vyzerať	0	3.7495040759303713	1.5914881350482504	Imp	6.625
vziať	0	3.3865985822410027	1.4616379209729133	Perf	4.782608695652174
ísť	0	1.8035939268750578	0.5955831194740056	Imp	3.6964285714285716
ísť	1	5.8289456176102075	2.3025850929940455	Perf	4.5
