LEMMA	DEFAULT	FREQUENCY	IC	ASPECT	CHAR_NUMBER
al	0	3.9103702642567817	3.4795114623467276	Perf	5.889908256880734
al	1	5.423664316137979	4.6494237219680725	Imp	7.791666666666667
anla	0	5.20052076482377	4.545302257847327	Perf	11.3
anla	1	5.71134638858976	4.360813392862917	Prog	9.166666666666666
anlat	0	4.2196915118120435	3.791609523461387	Perf	10.625
anlat	1	6.036768789024388	4.407746475170345	Prog	9.538461538461538
ara	0	5.657279167319484	4.919065821555678	Perf	8.052631578947368
ara	1	6.404493569149706	5.148150162502522	Prog	6.888888888888889
araştır	0	7.215423785366035	6.0100855411520655	Perf	12.5
araştır	1	8.601718146485926	7.152268856032539	Imp	12
at	0	5.893667945383715	4.729206560793788	Perf	4.933333333333334
at	1	7.90857096592598	3.8575618018160527	Imp	9
atla	0	6.655807997430612	5.82319151175863	Perf	8.714285714285714
atla	1	7.90857096592598	6.227358144107024	Prog	13
ayrıl	0	6.29913305349188	5.058361686915531	Perf	8
ayrıl	1	7.215423785366035	3.3974659691079863	Imp	9.5
ayır	0	6.404493569149706	4.713598966351465	Perf	7.222222222222222
ayır	1	6.80995867725787	3.9975940751318397	Imp	9.5
azal	0	6.522276604806089	5.460921570353921	Perf	7.875
azal	1	7.90857096592598	6.0840607630508	Imp	8.5
aç	0	4.7730767499968305	4.161508552127607	Perf	6.021739130434782
aç	1	6.655807997430612	4.082309502169634	Prog	7.142857142857143
ağla	0	6.992280234051825	5.766422377477317	Perf	6.8
bak	0	4.297653053281755	3.2419730245972516	Perf	8.54054054054054
bak	1	5.269513636310721	3.7972960977248866	Prog	8.142857142857142
bağla	0	6.116811496697925	5.327320298873437	Perf	9.25
bağla	1	7.90857096592598	5.900748570803421	Prog	8
başla	0	4.297653053281755	3.5714225111265137	Perf	8.472972972972974
başla	1	5.893667945383715	4.794626358282731	Imp	9.4
bekle	0	5.557195708762502	4.889706294830564	Perf	10.333333333333334
bekle	1	5.71134638858976	5.169353550037943	Prog	9
belir	0	4.840518030792363	4.1091927320171955	Perf	9.86046511627907
belir	1	7.215423785366035	5.960621274313461	Prog	12.75
belirle	0	5.605985872931934	4.930933481454949	Perf	11.6
belirle	1	8.601718146485926	1.3862943611198906	Imp	13
beğen	0	6.522276604806089	4.231154632260807	Perf	10.125
beğen	1	7.90857096592598	6.459121675472594	Imp	13
bil	0	4.730517135578034	4.054967371827314	Perf	7.75
bil	1	4.2709848061995945	3.459471431258524	Prog	6.828947368421052
bit	0	5.557195708762502	4.641556290121849	Perf	7.333333333333333
bit	1	7.215423785366035	5.953355446232368	Imp	7.5
bitir	0	6.036768789024388	4.924318412032585	Perf	7.153846153846154
bitir	1	8.601718146485926	3.6375861597263857	Imp	12
boz	0	6.992280234051825	5.704070416306387	Perf	7
boz	1	7.503105857817816	5.631836448271314	Imp	7.666666666666667
bul	0	4.612734099921651	4.075516531233559	Perf	7.62962962962963
bul	1	5.466223930556776	4.382340577208138	Prog	8.434782608695652
bulun	0	5.829129424246144	4.154665750279349	Perf	9.375
bulun	1	7.215423785366035	5.2657116186555974	Prog	10.25
büyü	0	7.215423785366035	4.834966221468889	Perf	6.5
büyü	1	7.503105857817816	5.825234452135419	Prog	9.666666666666666
bırak	0	5.135982243686199	4.343860663922809	Perf	8.34375
bırak	1	6.80995867725787	5.400673224262566	Imp	8.666666666666666
de	0	2.648474812198141	1.9476405779734858	Perf	4.810389610389611
de	1	4.33903826944461	3.3420197788479746	Imp	5.830985915492958
dokun	0	6.522276604806089	4.775604158816578	Perf	10.875
dokun	1	8.601718146485926	6.113682179832232	Imp	11
